full_surface_kernel_power,separation,angular_nodes,reduced_kernel,scaled_limit_value,asymptotic_target,relative_error,reduced_meridional_order
2.0,0.4,4096,7.701462617506776,3.0805850470027103,3.141592653589793,0.019419324309079812,inverse-first
3.0,0.4,4096,12.856887118071324,2.057101938891412,2.0,0.02855096944570601,inverse-square
2.0,0.2,4096,15.63000763406166,3.126001526812332,3.141592653589793,0.004962809790010696,inverse-first
3.0,0.2,4096,50.54089564264638,2.0216358257058555,2.0,0.010817912852927769,inverse-square
2.0,0.1,4096,31.3767301057426,3.13767301057426,3.141592653589793,0.0012476611221554144,inverse-first
3.0,0.1,4096,200.71842708626724,2.007184270862673,2.0,0.0035921354313364073,inverse-square
2.0,0.05,4096,62.81222731680457,3.1406113658402286,3.141592653589793,0.0003123535918774301,inverse-first
3.0,0.05,4096,800.8931507771703,2.002232876942926,2.0,0.0011164384714630327,inverse-square
2.0,0.025,4096,125.65388981688506,3.1413472454221267,3.141592653589793,7.811584591845908e-05,inverse-first
3.0,0.025,4096,3201.066889045378,2.0006668056533616,2.0,0.00033340282668081755,inverse-square
