shape,family,pair,cartesian_d2,stable_relative_error,hyperbolic_relative_error
sphere,closed smooth genus 0,0,3.961939766255643,0.0,0.0
sphere,closed smooth genus 0,1,3.7378391455385875,1.1880907459062783e-16,0.0
sphere,closed smooth genus 0,2,1.594353242204558,8.356163454141587e-16,6.96346954511799e-16
sphere,closed smooth genus 0,3,3.7985909646971474,1.1690893122667889e-16,1.1690893122667889e-16
prolate_spheroid,closed smooth genus 0,0,9.517829261639802,0.0,0.0
prolate_spheroid,closed smooth genus 0,1,3.339178916232429,0.0,0.0
prolate_spheroid,closed smooth genus 0,2,0.6736142448314257,4.944475416651827e-16,4.944475416651827e-16
prolate_spheroid,closed smooth genus 0,3,8.857524347302627,0.0,0.0
oblate_spheroid,closed smooth genus 0,0,1.5237147396656643,0.0,0.0
oblate_spheroid,closed smooth genus 0,1,7.186351121670175,0.0,1.2359240519459955e-16
oblate_spheroid,closed smooth genus 0,2,3.830433664396451,1.0434335218491056e-15,9.274964638658717e-16
oblate_spheroid,closed smooth genus 0,3,1.7339371435093605,1.280580474074334e-16,1.280580474074334e-16
golden_spheroid,closed smooth genus 0,0,19.811175653074955,0.0,0.0
golden_spheroid,closed smooth genus 0,1,30.085114174004104,0.0,0.0
golden_spheroid,closed smooth genus 0,2,14.349179179841016,4.951800565417239e-16,4.951800565417239e-16
golden_spheroid,closed smooth genus 0,3,19.535561783853957,0.0,0.0
peanut,closed smooth necked,0,6.436788557978181,0.0,0.0
peanut,closed smooth necked,1,2.665376390338112,0.0,1.6661407051546983e-16
peanut,closed smooth necked,2,0.8389109227974136,6.617049524894918e-16,6.617049524894918e-16
peanut,closed smooth necked,3,5.773190373150417,0.0,0.0
multiscale_ripple,closed smooth oscillatory,0,3.507300828917896,1.266185113602237e-16,0.0
multiscale_ripple,closed smooth oscillatory,1,5.238999291990631,1.6953207477198366e-16,0.0
multiscale_ripple,closed smooth oscillatory,2,2.2080031047221307,8.045083068956095e-16,8.045083068956095e-16
multiscale_ripple,closed smooth oscillatory,3,3.673625886376795,0.0,0.0
cusped_spindle,closed cusp tips,0,3.9615705611338625,0.0,0.0
cusped_spindle,closed cusp tips,1,2.2293638798882505,1.99199966347496e-16,0.0
cusped_spindle,closed cusp tips,2,1.5488407355740774,5.734472236559055e-16,5.734472236559055e-16
cusped_spindle,closed cusp tips,3,3.6630203898384623,0.0,0.0
superquadric_capsule,closed high-curvature transitions,0,10.194458344857516,0.0,0.0
superquadric_capsule,closed high-curvature transitions,1,8.057526577293123,0.0,0.0
superquadric_capsule,closed high-curvature transitions,2,1.6020676357603714,8.315926243138097e-16,6.929938535948415e-16
superquadric_capsule,closed high-curvature transitions,3,10.266374930082902,0.0,0.0
torus,closed genus 1,0,0.28327686872221286,5.8788228790074495e-15,5.682862116373868e-15
torus,closed genus 1,1,11.472383804666752,3.096752810305495e-16,3.096752810305495e-16
torus,closed genus 1,2,3.5739199152631445,8.698080938172206e-16,7.455497947004748e-16
torus,closed genus 1,3,9.858172943989043,7.207651354842065e-16,7.207651354842065e-16
thin_torus,closed genus 1 high aspect,0,0.4240197671511808,6.54582115407202e-15,6.54582115407202e-15
thin_torus,closed genus 1 high aspect,1,29.85306295440371,0.0,0.0
thin_torus,closed genus 1 high aspect,2,11.957250089519675,7.427948843175894e-16,5.942359074540714e-16
thin_torus,closed genus 1 high aspect,3,16.921130238493173,4.199144653728367e-16,4.199144653728367e-16
cylinder,open lateral surface,0,3.554054439193539,1.2495284398368197e-16,1.2495284398368197e-16
cylinder,open lateral surface,1,4.053564224605092,0.0,0.0
cylinder,open lateral surface,2,1.609819355967744,6.896568987752946e-16,6.896568987752946e-16
cylinder,open lateral surface,3,4.250444355967744,4.1792261952710783e-16,4.1792261952710783e-16
frustum,open conic surface,0,4.200003695060577,0.0,0.0
frustum,open conic surface,1,2.829869353848483,0.0,0.0
frustum,open conic surface,2,1.1418123269411742,7.778672543144508e-16,5.834004407358381e-16
frustum,open conic surface,3,4.008484006131829,2.2157464476382276e-16,2.2157464476382276e-16
near_tip_cone,open conic near-tip,0,4.387108093750328,0.0,0.0
near_tip_cone,open conic near-tip,1,1.323686985916932,0.0,1.677470635334672e-16
near_tip_cone,open conic near-tip,2,0.4583514535803448,8.477731565668323e-16,7.266627056287133e-16
near_tip_cone,open conic near-tip,3,3.43765275155191,1.2918384780125943e-16,1.2918384780125943e-16
double_concave_hourglass,open piecewise conic,0,3.5506736092804876,1.2507181980606022e-16,0.0
double_concave_hourglass,open piecewise conic,1,1.3247660757549136,1.6761042495634555e-16,1.6761042495634555e-16
double_concave_hourglass,open piecewise conic,2,0.17003716947409298,6.529296083079713e-16,6.529296083079713e-16
double_concave_hourglass,open piecewise conic,3,3.8451320876189654,3.464816290290752e-16,3.464816290290752e-16
