operator,radius,degree,eigenvalue,radius_times_eigenvalue,exact_scaled_target,relative_scaled_error
raw,0.5,1,1.9155471938366313,0.9577735969183157,1,0.04222640308168435
tangent_repaid,0.5,1,1.9809076909910472,0.9904538454955236,1,0.009546154504476378
raw,0.5,2,3.7464011606497314,1.8732005803248657,2,0.06339970983756715
tangent_repaid,0.5,2,3.9286197808474608,1.9643098904237304,2,0.017845054788134807
raw,0.5,3,5.4932832481098615,2.7466416240549307,3,0.08445279198168976
tangent_repaid,0.5,3,5.841747078887275,2.9208735394436376,3,0.026375486852120805
raw,1.0,1,0.9577735969183157,0.9577735969183157,1,0.04222640308168435
tangent_repaid,1.0,1,0.9904538454955236,0.9904538454955236,1,0.009546154504476378
raw,1.0,2,1.8732005803248657,1.8732005803248657,2,0.06339970983756715
tangent_repaid,1.0,2,1.9643098904237304,1.9643098904237304,2,0.017845054788134807
raw,1.0,3,2.7466416240549307,2.7466416240549307,3,0.08445279198168976
tangent_repaid,1.0,3,2.9208735394436376,2.9208735394436376,3,0.026375486852120805
raw,2.0,1,0.4788867984591578,0.9577735969183157,1,0.04222640308168435
tangent_repaid,2.0,1,0.4952269227477618,0.9904538454955236,1,0.009546154504476378
raw,2.0,2,0.9366002901624328,1.8732005803248657,2,0.06339970983756715
tangent_repaid,2.0,2,0.9821549452118652,1.9643098904237304,2,0.017845054788134807
raw,2.0,3,1.3733208120274654,2.7466416240549307,3,0.08445279198168976
tangent_repaid,2.0,3,1.4604367697218188,2.9208735394436376,3,0.026375486852120805
raw,4.0,1,0.2394433992295789,0.9577735969183157,1,0.04222640308168435
tangent_repaid,4.0,1,0.2476134613738809,0.9904538454955236,1,0.009546154504476378
raw,4.0,2,0.4683001450812164,1.8732005803248657,2,0.06339970983756715
tangent_repaid,4.0,2,0.4910774726059326,1.9643098904237304,2,0.017845054788134807
raw,4.0,3,0.6866604060137327,2.7466416240549307,3,0.08445279198168976
tangent_repaid,4.0,3,0.7302183848609094,2.9208735394436376,3,0.026375486852120805
