shape,family,n_rings,n_theta,n_nodes,surface_area,min_ring_radius,max_ring_radius,constant_residual_raw,constant_residual_repaid,weighted_self_adjoint_error_raw,weighted_self_adjoint_error_repaid,phase_shift_equivariance_error,energy_raw,energy_repaid,raw_two_field_apply_ms,repaid_two_field_apply_ms,dense_entries_avoided,stored_dense_surface_matrix,stored_pair_kernel_table
sphere,closed smooth genus 0,16,32,512,12.58657971440637,0.09801714032956059,0.9951847266721969,0.0,0.0,5.1583954342091e-16,2.0984466952131524e-15,3.764946763817022e-14,4.309602528461158,4.512021886788292,17.04112500010524,17.55974999105092,262144,False,False
prolate_spheroid,closed smooth genus 0,16,32,512,10.598828699548532,0.06371114121421438,0.6468700723369281,0.0,0.0,1.0605390551611693e-15,4.965068306494546e-16,3.0245980773399536e-14,2.7434888515919447,2.853831819770184,16.944749993854202,17.422542005078867,262144,False,False
oblate_spheroid,closed smooth genus 0,16,32,512,19.272968330663293,0.15192656751081893,1.5425363263419052,0.0,0.0,8.769440462918483e-16,3.888535279458145e-16,2.336957905141201e-14,10.011105855434186,10.494688747703847,16.70787500916049,17.302709005889483,262144,False,False
golden_spheroid,closed smooth genus 0,16,32,512,94.65231163012697,0.29405142098868176,2.9855541800165906,0.0,0.0,1.0320744782087819e-15,8.473274179644032e-16,3.4219612143331166e-14,96.26183241815609,100.90989296976151,16.749791990150698,24.516459001461044,262144,False,False
peanut,closed smooth necked,16,32,512,11.704146397333956,0.12493459549904684,0.7447298876934472,0.0,0.0,2.7507652874596385e-16,3.3792826561446774e-16,3.515463373919539e-14,3.425323793042656,3.5726289812451055,16.70187499257736,17.283792010857724,262144,False,False
multiscale_ripple,closed smooth oscillatory,16,32,512,16.83109381333387,0.07567732405562318,1.1711466147872573,0.0,0.0,6.706087246482533e-16,1.0129065990852102e-15,3.46741392249996e-14,6.8912042069474655,7.221442123608126,16.745333996368572,17.372041998896748,262144,False,False
cusped_spindle,closed cusp tips,16,32,512,9.530678460296537,9.230136229561996e-05,0.9808775817655262,0.0,0.0,4.742874840267547e-16,2.478190807634963e-16,3.124131759199328e-14,3.109453836976576,3.2893770757023653,16.730624993215315,17.29479200730566,262144,False,False
superquadric_capsule,closed high-curvature transitions,16,32,512,19.233763371376934,0.31307689204021527,0.9975894579796826,0.0,0.0,1.200200788824902e-16,4.11962893041272e-16,1.939132298333802e-14,7.011017286516912,7.3401759585574275,16.729416995076463,17.302625012234785,262144,False,False
torus,closed genus 1,16,32,512,41.057554308531735,1.4899916541903202,2.51000834580968,0.0,0.0,4.948471514073618e-16,9.653392209113856e-16,1.0191344850742931e-14,30.93862848649113,32.28761171410532,16.77508400462102,17.305250003119,262144,False,False
thin_torus,closed genus 1 high aspect,16,32,512,33.16187078766025,2.7253801214870954,3.2746198785129046,0.0,0.0,2.2125279667202753e-15,1.5807624335693288e-15,1.8876380335897433e-14,18.390327812887122,19.27522025420273,16.80145900172647,17.850749994977377,262144,False,False
cylinder,open lateral surface,16,32,512,12.566370614359172,1.0,1.0,0.0,0.0,1.9955416978956332e-15,3.086517380737182e-15,1.0219037939529185e-14,3.732728159469639,3.900603082423084,16.902875009691343,17.361332997097634,262144,False,False
frustum,open conic surface,16,32,512,11.168619309981759,0.4071875,1.2228124999999999,0.0,0.0,9.930136612989092e-16,1.6736404963781187e-15,1.0366228419615973e-14,3.3325225911693894,3.4880876969640555,16.73083299829159,17.416874994523823,262144,False,False
near_tip_cone,open conic near-tip,16,32,512,7.052892999888693,0.03609375,0.96890625,0.0,0.0,1.8619006149354548e-16,3.8559277963506344e-16,2.9329648025140505e-14,1.6657612020916306,1.7482600804306867,16.898957997909747,17.528290991322137,262144,False,False
double_concave_hourglass,open piecewise conic,16,32,512,9.910211783281104,0.325,0.955,0.0,0.0,9.930136612989092e-16,6.713178136967714e-16,1.0841592157692012e-14,2.75443969379207,2.891656544983462,16.93766600510571,17.406500002834946,262144,False,False
