operator,n_meridian,n_nodes,max_relative_error_to_continuum,median_relative_error_to_continuum,max_relative_error_to_dtn,max_relative_residual
inverse_cube_raw,8,128,0.4465809624065256,0.25578377434241056,0.4465809624065256,0.4474960243151034
inverse_cube_raw,16,512,0.2208273460626057,0.1362585720181876,0.2208273460626057,0.27629348269521464
inverse_cube_raw,32,2048,0.10969640130804414,0.06875391040065768,0.10969640130804414,0.17565300232077638
inverse_cube_raw,64,8192,0.05460117047083054,0.034772817828116406,0.05460117047083054,0.10726074459954102
inverse_cube_tangent_repaid,8,128,0.2680526550787172,0.05696796719771576,0.2680526550787172,0.28685116926341947
inverse_cube_tangent_repaid,16,512,0.07829718938993491,0.013820929764826554,0.07829718938993491,0.19436682574887276
inverse_cube_tangent_repaid,32,2048,0.030513081631319938,0.004517474134957696,0.030513081631319938,0.13839101484564886
inverse_cube_tangent_repaid,64,8192,0.013981929624339529,0.0020356098242069187,0.013981929624339529,0.09152307326698932
inverse_square_control,8,128,0.11949604748036605,0.0474462036098334,0.6404608860544828,0.12396311506833832
inverse_square_control,16,512,0.027768994506345516,0.011833577414206821,0.6030056727567578,0.033820276494591746
inverse_square_control,32,2048,0.006829502543096738,0.002953493119442384,0.5944553802050978,0.00968832888030411
inverse_square_control,64,8192,0.0017005170449664682,0.000740042777117678,0.5923610444600279,0.002697101572823644
