log_abs_multiplier,phase_increment,cone_slope,relative_fast_vs_direct,weighted_self_adjoint_error_repaid,scale_translation_residual,phase_translation_residual,constant_residual,dense_matrix_stored,scope
-0.8,0.0,0.0,1.7208456881689926e-15,4.3523368655619326e-16,2.220446049250313e-16,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
-0.8,0.0,0.5,1.247457973265988e-15,9.688242567883659e-16,2.220446049250313e-16,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
-0.8,0.0,1.7,5.855976570792307e-16,1.4924198339590603e-16,2.220446049250313e-16,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
-0.8,0.17,0.0,1.7486012637846216e-15,2.9209625485614164e-16,2.220446049250313e-16,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
-0.8,0.17,0.5,1.2259721716507073e-15,2.157865856471795e-16,2.220446049250313e-16,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
-0.8,0.17,1.7,8.010741897413915e-16,1.5205447372122917e-16,2.220446049250313e-16,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
-0.8,0.63,0.0,1.817990202823694e-15,5.20348724829017e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,False,Koenigs-linearized conic orbit within one chart
-0.8,0.63,0.5,1.5809756224837582e-15,3.261287011360275e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,False,Koenigs-linearized conic orbit within one chart
-0.8,0.63,1.7,1.1168440202394182e-15,1.9385991134482446e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,False,Koenigs-linearized conic orbit within one chart
-0.35,0.0,0.0,3.419192108459758e-15,3.3306690738754696e-15,1.1102230246251565e-16,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
-0.35,0.0,0.5,3.860775875370025e-15,1.792334562602658e-15,1.1102230246251565e-16,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
-0.35,0.0,1.7,1.0097700039153532e-15,2.0427054901942895e-16,1.1102230246251565e-16,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
-0.35,0.17,0.0,2.0261570199409107e-15,1.4432899320127035e-15,1.1102230246251565e-16,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
-0.35,0.17,0.5,2.0053283331865004e-15,1.4433566506043034e-15,1.1102230246251565e-16,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
-0.35,0.17,1.7,9.248272748477802e-16,2.835657967222372e-16,1.1102230246251565e-16,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
-0.35,0.63,0.0,1.7694179454963432e-15,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,False,Koenigs-linearized conic orbit within one chart
-0.35,0.63,0.5,2.268950004128373e-15,5.117875266520903e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,False,Koenigs-linearized conic orbit within one chart
-0.35,0.63,1.7,1.3539569516164568e-15,5.194310473501471e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,False,Koenigs-linearized conic orbit within one chart
0.25,0.0,0.0,4.282148180931478e-15,4.85722573273506e-15,0.0,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
0.25,0.0,0.5,3.108462798252863e-15,7.532951755417527e-15,0.0,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
0.25,0.0,1.7,2.989594475841163e-15,9.025412665753318e-16,0.0,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
0.25,0.17,0.0,5.0033228313309256e-15,3.1086244689504383e-15,0.0,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
0.25,0.17,0.5,4.4865637225848276e-15,8.368202481890594e-16,0.0,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
0.25,0.17,1.7,2.162933063498862e-15,2.5923108983378684e-15,0.0,0.0,0.0,False,Koenigs-linearized conic orbit within one chart
0.25,0.63,0.0,1.7486012637846216e-15,1.6653345369377348e-16,0.0,1.1102230246251565e-16,0.0,False,Koenigs-linearized conic orbit within one chart
0.25,0.63,0.5,1.7366891592313822e-15,5.200468367758596e-16,0.0,1.1102230246251565e-16,0.0,False,Koenigs-linearized conic orbit within one chart
0.25,0.63,1.7,1.4804907664479368e-15,3.3307476151013027e-16,0.0,1.1102230246251565e-16,0.0,False,Koenigs-linearized conic orbit within one chart
