shape,n_slices,edge,determinant,minus_second_log_det,degenerate
circular_cylinder,8,0,-2.441406250000001,0.0,False
circular_cylinder,8,1,-2.441406250000001,0.0,False
circular_cylinder,8,2,-2.441406250000001,0.0,False
circular_cylinder,8,3,-2.441406250000001,0.0,False
circular_cylinder,8,4,-2.441406250000001,0.0,False
circular_cylinder,8,5,-2.441406250000001,0.0,False
circular_cylinder,8,6,-2.441406250000001,0.0,False
circular_cylinder,16,0,-2.441406250000001,0.0,False
circular_cylinder,16,1,-2.441406250000001,0.0,False
circular_cylinder,16,2,-2.441406250000001,0.0,False
circular_cylinder,16,3,-2.441406250000001,0.0,False
circular_cylinder,16,4,-2.441406250000001,0.0,False
circular_cylinder,16,5,-2.441406250000001,0.0,False
circular_cylinder,16,6,-2.441406250000001,0.0,False
circular_cylinder,16,7,-2.441406250000001,0.0,False
circular_cylinder,16,8,-2.441406250000001,0.0,False
circular_cylinder,16,9,-2.441406250000001,0.0,False
circular_cylinder,16,10,-2.441406250000001,0.0,False
circular_cylinder,16,11,-2.441406250000001,0.0,False
circular_cylinder,16,12,-2.441406250000001,0.0,False
circular_cylinder,16,13,-2.441406250000001,0.0,False
circular_cylinder,16,14,-2.441406250000001,0.0,False
circular_cylinder,32,0,-2.441406250000001,0.0,False
circular_cylinder,32,1,-2.441406250000001,0.0,False
circular_cylinder,32,2,-2.441406250000001,0.0,False
circular_cylinder,32,3,-2.441406250000001,0.0,False
circular_cylinder,32,4,-2.441406250000001,0.0,False
circular_cylinder,32,5,-2.441406250000001,0.0,False
circular_cylinder,32,6,-2.441406250000001,0.0,False
circular_cylinder,32,7,-2.441406250000001,0.0,False
circular_cylinder,32,8,-2.441406250000001,0.0,False
circular_cylinder,32,9,-2.441406250000001,0.0,False
circular_cylinder,32,10,-2.441406250000001,0.0,False
circular_cylinder,32,11,-2.441406250000001,0.0,False
circular_cylinder,32,12,-2.441406250000001,0.0,False
circular_cylinder,32,13,-2.441406250000001,0.0,False
circular_cylinder,32,14,-2.441406250000001,0.0,False
circular_cylinder,32,15,-2.441406250000001,0.0,False
circular_cylinder,32,16,-2.441406250000001,0.0,False
circular_cylinder,32,17,-2.441406250000001,0.0,False
circular_cylinder,32,18,-2.441406250000001,0.0,False
circular_cylinder,32,19,-2.441406250000001,0.0,False
circular_cylinder,32,20,-2.441406250000001,0.0,False
circular_cylinder,32,21,-2.441406250000001,0.0,False
circular_cylinder,32,22,-2.441406250000001,0.0,False
circular_cylinder,32,23,-2.441406250000001,0.0,False
circular_cylinder,32,24,-2.441406250000001,0.0,False
circular_cylinder,32,25,-2.441406250000001,0.0,False
circular_cylinder,32,26,-2.441406250000001,0.0,False
circular_cylinder,32,27,-2.441406250000001,0.0,False
circular_cylinder,32,28,-2.441406250000001,0.0,False
circular_cylinder,32,29,-2.441406250000001,0.0,False
circular_cylinder,32,30,-2.441406250000001,0.0,False
elliptic_taper,8,0,-113.08824867134923,0.391872407651356,False
elliptic_taper,8,1,-49.12861745253603,0.26362064915068517,False
elliptic_taper,8,2,-24.72518896848206,0.189218756100913,False
elliptic_taper,8,3,-13.78405258023072,0.14231861963531384,False
elliptic_taper,8,4,-8.28672460405403,0.11088799097170389,False
elliptic_taper,8,5,-5.279455038127956,0.08881196422795466,False
elliptic_taper,8,6,-3.5220456677153775,0.07271993237197796,False
elliptic_taper,16,0,-136.68105036196408,0.09838282660259368,False
elliptic_taper,16,1,-89.33362972489095,0.07974916557433377,False
elliptic_taper,16,2,-60.8435599214344,0.06594447719301033,False
elliptic_taper,16,3,-42.86726316020627,0.05543471188453722,False
elliptic_taper,16,4,-31.070650618887285,0.04724957249704266,False
elliptic_taper,16,5,-23.06933108198785,0.040751138053539124,False
elliptic_taper,16,6,-17.487071029456907,0.035506099129927825,False
elliptic_taper,16,7,-13.496516211752544,0.03121180295346556,False
elliptic_taper,16,8,-10.582557675457954,0.02765169348592897,False
elliptic_taper,16,9,-8.414574239268699,0.024667518335011608,False
elliptic_taper,16,10,-6.774609006485465,0.022141463539372335,False
elliptic_taper,16,11,-5.515537425323252,0.019984361852920653,False
elliptic_taper,16,12,-4.535931027928763,0.01812772502990815,False
elliptic_taper,16,13,-3.7645285159401873,0.016518246109836314,False
elliptic_taper,16,14,-3.1504009442626,0.015113934013780929,False
elliptic_taper,32,0,-151.43413751994555,0.024531877501388286,False
elliptic_taper,32,1,-121.9998626129495,0.022024044596994724,False
elliptic_taper,32,2,-99.3849319728841,0.019882076204893056,False
elliptic_taper,32,3,-81.77757936246246,0.018038103882744974,False
elliptic_taper,32,4,-67.90375709818596,0.016439299070914654,False
elliptic_taper,32,5,-56.852178664635844,0.015044043325591632,False
elliptic_taper,32,6,-47.960895659270605,0.01381918998622928,False
elliptic_taper,32,7,-40.74226802787247,0.012738075704119013,False
elliptic_taper,32,8,-34.83241187089705,0.011779055991267608,False
elliptic_taper,32,9,-29.956562890433077,0.01092441269261841,False
elliptic_taper,32,10,-25.904976375110124,0.010159529210282323,False
elliptic_taper,32,11,-22.515918952178254,0.009472261022443331,False
elliptic_taper,32,12,-19.66350690038108,0.008852450376841837,False
elliptic_taper,32,13,-17.248903688279874,0.008291548615592413,False
elliptic_taper,32,14,-15.193876517565501,0.007782319688392264,False
elliptic_taper,32,15,-13.436029766919145,0.007318605502026083,False
elliptic_taper,32,16,-11.925244080272183,0.0068951387933247205,False
elliptic_taper,32,17,-10.620991536098058,0.006507392834969805,False
elliptic_taper,32,18,-9.490293789391938,0.0061514599150575885,False
elliptic_taper,32,19,-8.506156535759938,0.005823952462303189,False
elliptic_taper,32,20,-7.646359958437427,0.005521922118974605,False
elliptic_taper,32,21,-6.89251743709988,0.005242793132367762,False
elliptic_taper,32,22,-6.2293380026812555,0.004984307240863633,False
elliptic_taper,32,23,-5.644044688503001,0.004744477842115576,False
elliptic_taper,32,24,-5.125913005315539,0.004521551698733895,False
elliptic_taper,32,25,-4.66590259438276,0.0043139767972757296,False
elliptic_taper,32,26,-4.256361615587082,0.004120375255902389,False
elliptic_taper,32,27,-3.890788255170408,0.003939520394258347,False
elliptic_taper,32,28,-3.5636373478361336,0.0037703172504690674,False
elliptic_taper,32,29,-3.2701628263136056,0.003611785965463969,False
elliptic_taper,32,30,-3.0062887719349303,0.0034630475622839715,False
bent_tube,8,0,-42.385525173611114,0.0,False
bent_tube,8,1,-42.385525173611114,0.0,False
bent_tube,8,2,-42.385525173611114,0.0,False
bent_tube,8,3,-42.385525173611114,0.0,False
bent_tube,8,4,-42.385525173611114,0.0,False
bent_tube,8,5,-42.385525173611114,0.0,False
bent_tube,8,6,-42.385525173611114,0.0,False
bent_tube,16,0,-42.385525173611114,0.0,False
bent_tube,16,1,-42.385525173611114,0.0,False
bent_tube,16,2,-42.385525173611114,0.0,False
bent_tube,16,3,-42.385525173611114,0.0,False
bent_tube,16,4,-42.385525173611114,0.0,False
bent_tube,16,5,-42.385525173611114,0.0,False
bent_tube,16,6,-42.385525173611114,0.0,False
bent_tube,16,7,-42.385525173611114,0.0,False
bent_tube,16,8,-42.385525173611114,0.0,False
bent_tube,16,9,-42.385525173611114,0.0,False
bent_tube,16,10,-42.385525173611114,0.0,False
bent_tube,16,11,-42.385525173611114,0.0,False
bent_tube,16,12,-42.385525173611114,0.0,False
bent_tube,16,13,-42.385525173611114,0.0,False
bent_tube,16,14,-42.385525173611114,0.0,False
bent_tube,32,0,-42.385525173611114,0.0,False
bent_tube,32,1,-42.385525173611114,0.0,False
bent_tube,32,2,-42.385525173611114,0.0,False
bent_tube,32,3,-42.385525173611114,0.0,False
bent_tube,32,4,-42.385525173611114,0.0,False
bent_tube,32,5,-42.385525173611114,0.0,False
bent_tube,32,6,-42.385525173611114,0.0,False
bent_tube,32,7,-42.385525173611114,0.0,False
bent_tube,32,8,-42.385525173611114,0.0,False
bent_tube,32,9,-42.385525173611114,0.0,False
bent_tube,32,10,-42.385525173611114,0.0,False
bent_tube,32,11,-42.385525173611114,0.0,False
bent_tube,32,12,-42.385525173611114,0.0,False
bent_tube,32,13,-42.385525173611114,0.0,False
bent_tube,32,14,-42.385525173611114,0.0,False
bent_tube,32,15,-42.385525173611114,0.0,False
bent_tube,32,16,-42.385525173611114,0.0,False
bent_tube,32,17,-42.385525173611114,0.0,False
bent_tube,32,18,-42.385525173611114,0.0,False
bent_tube,32,19,-42.385525173611114,0.0,False
bent_tube,32,20,-42.385525173611114,0.0,False
bent_tube,32,21,-42.385525173611114,0.0,False
bent_tube,32,22,-42.385525173611114,0.0,False
bent_tube,32,23,-42.385525173611114,0.0,False
bent_tube,32,24,-42.385525173611114,0.0,False
bent_tube,32,25,-42.385525173611114,0.0,False
bent_tube,32,26,-42.385525173611114,0.0,False
bent_tube,32,27,-42.385525173611114,0.0,False
bent_tube,32,28,-42.385525173611114,0.0,False
bent_tube,32,29,-42.385525173611114,0.0,False
bent_tube,32,30,-42.385525173611114,0.0,False
twisted_ellipse,8,0,-15.475650302301363,0.0,False
twisted_ellipse,8,1,-15.475650302301363,0.0,False
twisted_ellipse,8,2,-15.475650302301363,0.0,False
twisted_ellipse,8,3,-15.475650302301363,0.0,False
twisted_ellipse,8,4,-15.475650302301363,0.0,False
twisted_ellipse,8,5,-15.475650302301363,0.0,False
twisted_ellipse,8,6,-15.475650302301363,0.0,False
twisted_ellipse,16,0,-15.475650302301363,0.0,False
twisted_ellipse,16,1,-15.475650302301363,0.0,False
twisted_ellipse,16,2,-15.475650302301363,0.0,False
twisted_ellipse,16,3,-15.475650302301363,0.0,False
twisted_ellipse,16,4,-15.475650302301363,0.0,False
twisted_ellipse,16,5,-15.475650302301363,0.0,False
twisted_ellipse,16,6,-15.475650302301363,0.0,False
twisted_ellipse,16,7,-15.475650302301363,0.0,False
twisted_ellipse,16,8,-15.475650302301363,0.0,False
twisted_ellipse,16,9,-15.475650302301363,0.0,False
twisted_ellipse,16,10,-15.475650302301363,0.0,False
twisted_ellipse,16,11,-15.475650302301363,0.0,False
twisted_ellipse,16,12,-15.475650302301363,0.0,False
twisted_ellipse,16,13,-15.475650302301363,0.0,False
twisted_ellipse,16,14,-15.475650302301363,0.0,False
twisted_ellipse,32,0,-15.475650302301363,0.0,False
twisted_ellipse,32,1,-15.475650302301363,0.0,False
twisted_ellipse,32,2,-15.475650302301363,0.0,False
twisted_ellipse,32,3,-15.475650302301363,0.0,False
twisted_ellipse,32,4,-15.475650302301363,0.0,False
twisted_ellipse,32,5,-15.475650302301363,0.0,False
twisted_ellipse,32,6,-15.475650302301363,0.0,False
twisted_ellipse,32,7,-15.475650302301363,0.0,False
twisted_ellipse,32,8,-15.475650302301363,0.0,False
twisted_ellipse,32,9,-15.475650302301363,0.0,False
twisted_ellipse,32,10,-15.475650302301363,0.0,False
twisted_ellipse,32,11,-15.475650302301363,0.0,False
twisted_ellipse,32,12,-15.475650302301363,0.0,False
twisted_ellipse,32,13,-15.475650302301363,0.0,False
twisted_ellipse,32,14,-15.475650302301363,0.0,False
twisted_ellipse,32,15,-15.475650302301363,0.0,False
twisted_ellipse,32,16,-15.475650302301363,0.0,False
twisted_ellipse,32,17,-15.475650302301363,0.0,False
twisted_ellipse,32,18,-15.475650302301363,0.0,False
twisted_ellipse,32,19,-15.475650302301363,0.0,False
twisted_ellipse,32,20,-15.475650302301363,0.0,False
twisted_ellipse,32,21,-15.475650302301363,0.0,False
twisted_ellipse,32,22,-15.475650302301363,0.0,False
twisted_ellipse,32,23,-15.475650302301363,0.0,False
twisted_ellipse,32,24,-15.475650302301363,0.0,False
twisted_ellipse,32,25,-15.475650302301363,0.0,False
twisted_ellipse,32,26,-15.475650302301363,0.0,False
twisted_ellipse,32,27,-15.475650302301363,0.0,False
twisted_ellipse,32,28,-15.475650302301363,0.0,False
twisted_ellipse,32,29,-15.475650302301363,0.0,False
twisted_ellipse,32,30,-15.475650302301363,0.0,False
toroidal_bundle,8,0,-98.41899722852106,0.0,False
toroidal_bundle,8,1,-98.41899722852106,0.0,False
toroidal_bundle,8,2,-98.41899722852106,0.0,False
toroidal_bundle,8,3,-98.41899722852106,0.0,False
toroidal_bundle,8,4,-98.41899722852106,0.0,False
toroidal_bundle,8,5,-98.41899722852106,0.0,False
toroidal_bundle,8,6,-98.41899722852106,0.0,False
toroidal_bundle,8,7,-98.41899722852106,0.0,False
toroidal_bundle,16,0,-98.41899722852106,0.0,False
toroidal_bundle,16,1,-98.41899722852106,0.0,False
toroidal_bundle,16,2,-98.41899722852106,0.0,False
toroidal_bundle,16,3,-98.41899722852106,0.0,False
toroidal_bundle,16,4,-98.41899722852106,0.0,False
toroidal_bundle,16,5,-98.41899722852106,0.0,False
toroidal_bundle,16,6,-98.41899722852106,0.0,False
toroidal_bundle,16,7,-98.41899722852106,0.0,False
toroidal_bundle,16,8,-98.41899722852106,0.0,False
toroidal_bundle,16,9,-98.41899722852106,0.0,False
toroidal_bundle,16,10,-98.41899722852106,0.0,False
toroidal_bundle,16,11,-98.41899722852106,0.0,False
toroidal_bundle,16,12,-98.41899722852106,0.0,False
toroidal_bundle,16,13,-98.41899722852106,0.0,False
toroidal_bundle,16,14,-98.41899722852106,0.0,False
toroidal_bundle,16,15,-98.41899722852106,0.0,False
toroidal_bundle,32,0,-98.41899722852106,0.0,False
toroidal_bundle,32,1,-98.41899722852106,0.0,False
toroidal_bundle,32,2,-98.41899722852106,0.0,False
toroidal_bundle,32,3,-98.41899722852106,0.0,False
