shape,family,hard_part,sample_count,q_min,q_median,q_max,max_over_median,q90_over_q10
circle,smooth normal form,none; constant chord-curvature density,260,5633.249999999831,5633.249999999992,5633.250000000129,1.0000000000000244,1.0000000000000246
golden_ellipse,smooth conic,metric modulation from closed-form Laurent pullback,260,5671.8911092995295,7256.411995963632,10068.651633822874,1.387552366021051,1.7238124749995891
rounded_square,smooth high-curvature,large but finite curvature bands,260,836.3043651927647,13359.769196805253,21959.913574424,1.6437345025148575,7.518248451210252
flower_nonconvex,smooth nonconvex,oscillatory metric/chord modulation,260,3803.682501599781,6003.8732228015915,16151.789744320591,2.6902283151115025,2.6252161265373677
cardioid_one_cusp,cusp,one vanishing tangent; one tangent cone,260,3223.455142854779,6483.991880394124,723019771682.6256,111508432.61677212,44.766987027849794
nephroid_two_cusps,multi-cusp,two vanishing tangents,260,2594.9889530740074,5265.5715327315775,80336527586.39827,15256943.541078959,65.89273592342737
astroid_four_cusps,multi-cusp,four tangent-cone endpoints,260,2771.4894953335324,6012.397391041726,80307874658.53177,13357047.020575827,302.6927628115542
joukowski_airfoil,Joukowski cusp,critical-point cusp from zeta+a^2/zeta,260,6133.085108336303,14812.293946972317,14619236082920.266,986966376.3936096,29.237814008994413
square_polygon,polygonal corners,four tangent jumps / Kondrat'ev vertices,260,6935.894108047758,7015.024414848144,7848.342205273049,1.1187904333819692,1.034205815480484
star_polygon,re-entrant polygon,alternating convex/re-entrant corner channel,260,4519.749653499222,4876.20249387551,7834.771616674966,1.6067363130459422,1.1938709656036837
double_concave_stealth,concave polygon,symmetric concave vertex scattering,260,11044.070084312592,11414.675228287273,34946.116919378255,3.0615077713973453,1.1259174217920869
rational_asymptote_chart,open rational chart,Q asymptote plus R/D touch-cross residual,260,27558.748537258336,54825.36619890198,55165.312565683875,1.0062005307096098,1.0286491190306473
