shape,branch,rank,eigenvalue,log10_eigenvalue,sample_count,requested_lanczos_steps
circle,low_nonzero,1,127.50000000000097,2.1055101847699773,256,124
circle,low_nonzero,2,127.5000000000022,2.1055101847699813,256,124
circle,low_nonzero,3,254.00000000000358,2.4048337166199443,256,124
circle,low_nonzero,4,254.00000000000398,2.4048337166199447,256,124
circle,low_nonzero,5,379.5000000000024,2.579211780231502,256,124
circle,low_nonzero,6,379.5000000000039,2.5792117802315038,256,124
circle,low_nonzero,7,504.00000000000546,2.70243053644553,256,124
circle,low_nonzero,8,504.0000000000061,2.7024305364455303,256,124
circle,low_nonzero,9,627.5000000000031,2.7976137301530777,256,124
circle,low_nonzero,10,627.5000000000058,2.79761373015308,256,124
circle,low_nonzero,11,750.0000000000086,2.875061263391705,256,124
circle,low_nonzero,12,750.0000000000093,2.8750612633917054,256,124
circle,high,1,8191.7270857812355,3.9133754749899583,256,124
circle,high,2,8189.544036247321,3.913259722510819,256,124
circle,high,3,8185.179345540401,3.9130281996826253,256,124
circle,high,4,8178.635826537274,3.91268087061335,256,124
circle,high,5,8169.917688820343,3.9122176810769442,256,124
circle,high,6,8159.030526656355,3.911638558026317,256,124
circle,high,7,8145.981302380785,3.9109434089070905,256,124
circle,high,8,8130.778324648622,3.9101321207380786,256,124
circle,high,9,8113.431220828229,3.9092045589125632,256,124
circle,high,10,8093.9509026014,3.9081605656604457,256,124
circle,high,11,8072.349523575139,3.906999958094269,256,124
circle,high,12,8048.640427405454,3.9057225257414796,256,124
golden_ellipse,low_nonzero,1,167.22982776326424,2.2233137424669844,256,124
golden_ellipse,low_nonzero,2,167.67095020897634,2.2244578255352203,256,124
golden_ellipse,low_nonzero,3,328.4590126239135,2.5164811830225697,256,124
golden_ellipse,low_nonzero,4,331.6955240710862,2.5207396111506433,256,124
golden_ellipse,low_nonzero,5,490.97999444317395,2.6910637966444715,256,124
golden_ellipse,low_nonzero,6,491.8683073649802,2.6918488404899605,256,124
golden_ellipse,low_nonzero,7,651.1629947105757,2.813689711829473,256,124
golden_ellipse,low_nonzero,8,651.5680012440721,2.8139597477906118,256,124
golden_ellipse,low_nonzero,9,809.9185310117938,2.908441335778078,256,124
golden_ellipse,low_nonzero,10,810.0464018610667,2.908509897267557,256,124
golden_ellipse,low_nonzero,11,967.2256864749606,2.985527821502639,256,124
golden_ellipse,low_nonzero,12,967.2783220941893,2.985551454804909,256,124
golden_ellipse,high,1,14573.777975763898,4.163572148979424,256,124
golden_ellipse,high,2,14573.777975763729,4.163572148979419,256,124
golden_ellipse,high,3,14374.030470429316,4.15757856115001,256,124
golden_ellipse,high,4,14374.03047042927,4.157578561150009,256,124
golden_ellipse,high,5,14177.954391061992,4.151613574940123,256,124
golden_ellipse,high,6,14177.954391061969,4.151613574940122,256,124
golden_ellipse,high,7,13985.507200871367,4.145678221193449,256,124
golden_ellipse,high,8,13985.507200871365,4.145678221193449,256,124
golden_ellipse,high,9,13796.646571864321,4.139773539132067,256,124
golden_ellipse,high,10,13796.64657186181,4.139773539131988,256,124
golden_ellipse,high,11,13611.330410171946,4.1339005764566785,256,124
golden_ellipse,high,12,13611.330131187982,4.133900567555183,256,124
rounded_square,low_nonzero,1,227.08737664737788,2.3561929932916943,256,124
rounded_square,low_nonzero,2,327.0222830909678,2.514577346219102,256,124
rounded_square,low_nonzero,3,403.83933893298513,2.6062086223078755,256,124
rounded_square,low_nonzero,4,421.1298533282148,2.6244160290625325,256,124
rounded_square,low_nonzero,5,453.14448445555496,2.656236698253501,256,124
rounded_square,low_nonzero,6,556.5910072770255,2.745536185250782,256,124
rounded_square,low_nonzero,7,562.0731392257885,2.74979283139727,256,124
rounded_square,low_nonzero,8,599.5901374745786,2.7778544806212135,256,124
rounded_square,low_nonzero,9,682.0405649307094,2.8338102054507,256,124
rounded_square,low_nonzero,10,753.2841548940502,2.8769588322746755,256,124
rounded_square,low_nonzero,11,815.7288860527094,2.911545841528904,256,124
rounded_square,low_nonzero,12,871.8438161870404,2.9404386915342333,256,124
rounded_square,high,1,31766.274020263667,4.501966277863469,256,124
rounded_square,high,2,31766.274020263663,4.501966277863469,256,124
rounded_square,high,3,31766.2740202634,4.501966277863465,256,124
