shape,family,problem,method,label,competitor_class,n,mode,time_big_o,storage_big_o,shared_circle_solve_ms,shape_pullback_ms,shape_repay_ms,standalone_shape_pde_ms,batched_problem_shape_ms,full_suite_amortized_ms,timing_scope,relative_l2_vs_generated_q,relative_l2_vs_production_q,relative_l2_vs_continuum,dense_matrix_stored
circle,baseline,laplace_dtn,q_fft_repaid_production,final repaid Q spectrum + custom FFT,new_q,256,7,O(n log n),O(n),0.499167013913393,0.06566604133695364,0.13066700194031,0.6955000571906567,0.21713166885698837,0.16459883578742546,circle_solve_shared_across_shapes,1.508407584189923e-14,1.508407584189923e-14,1.508407584189923e-14,False
circle,baseline,heat,q_fft_repaid_production,final repaid Q spectrum + custom FFT,new_q,256,7,O(n log n),O(n),0.5082499701529741,0.06566604133695364,0.1175830839201808,0.6914990954101086,0.2044262073468417,0.15189337427727878,circle_solve_shared_across_shapes,1.272340028969977e-15,1.272340028969977e-15,1.272340028969977e-15,False
circle,baseline,poisson,q_fft_repaid_production,final repaid Q spectrum + custom FFT,new_q,256,7,O(n log n),O(n),0.4906250396743417,0.06566604133695364,0.11645897757261992,0.6727500585839152,0.20256772889600444,0.15003489582644153,circle_solve_shared_across_shapes,1.2926993505705216e-15,1.2926993505705216e-15,1.2926993505705216e-15,False
circle,baseline,helmholtz,q_fft_repaid_production,final repaid Q spectrum + custom FFT,new_q,256,7,O(n log n),O(n),0.5066660232841969,0.06566604133695364,0.11704093776643276,0.6893730023875833,0.20381806340689462,0.1512852303373317,circle_solve_shared_across_shapes,1.9945894868750538e-15,1.9945894868750538e-15,1.9945894868750538e-15,False
circle,baseline,wave,q_fft_repaid_production,final repaid Q spectrum + custom FFT,new_q,256,7,O(n log n),O(n),0.4972500028088689,0.06566604133695364,0.1271669752895832,0.6900830194354057,0.21355176674357307,0.16101893367401016,circle_solve_shared_across_shapes,1.5407973108672695e-15,1.5407973108672695e-15,1.5407973108672695e-15,False
circle,baseline,laplace_dtn,raw_cycle_q_diagnostic,raw finite-cycle Q diagnostic + custom FFT,q_finite_cycle_diagnostic,256,7,O(n log n),O(n),0.4842499038204551,0.06566604133695364,0.11837494093924761,0.6682908860966563,0.20421806160205352,0.1516852285324906,circle_solve_shared_across_shapes,0.027343749999999986,0.027343749999999986,0.027343749999999986,False
circle,baseline,heat,raw_cycle_q_diagnostic,raw finite-cycle Q diagnostic + custom FFT,q_finite_cycle_diagnostic,256,7,O(n log n),O(n),0.49462507013231516,0.06566604133695364,0.1159169478341937,0.6762080593034625,0.20219236709332716,0.14965953402376425,circle_solve_shared_across_shapes,0.033074246818576146,0.033074246818576146,0.033074246818576146,False
circle,baseline,poisson,raw_cycle_q_diagnostic,raw finite-cycle Q diagnostic + custom FFT,q_finite_cycle_diagnostic,256,7,O(n log n),O(n),0.5021669203415513,0.06566604133695364,0.11749996338039637,0.6853329250589013,0.20408962639824796,0.15155679332868505,circle_solve_shared_across_shapes,0.02673796791443846,0.02673796791443846,0.02673796791443846,False
circle,baseline,helmholtz,raw_cycle_q_diagnostic,raw finite-cycle Q diagnostic + custom FFT,q_finite_cycle_diagnostic,256,7,O(n log n),O(n),0.5014169728383422,0.06566604133695364,0.11904188431799412,0.68612489849329,0.20560029952321202,0.1530674664536491,circle_solve_shared_across_shapes,0.08090901492009166,0.08090901492009166,0.08090901492009166,False
circle,baseline,wave,raw_cycle_q_diagnostic,raw finite-cycle Q diagnostic + custom FFT,q_finite_cycle_diagnostic,256,7,O(n log n),O(n),0.503125018440187,0.06566604133695364,0.12066599447280169,0.6894570542499423,0.20729557824476313,0.15476274517520022,circle_solve_shared_across_shapes,0.048394299910454554,0.048394299910454554,0.048394299910454554,False
