shape,family,problem,n,mode,generated_q_residual,continuum_rel_error,raw_cycle_diagnostic_rel_error,shared_circle_solve_ms,shape_pullback_ms,shape_repay_ms,standalone_shape_pde_ms,batched_problem_shape_ms,full_suite_amortized_ms,timing_scope,transport,work_model,dense_q_matrix_stored
circle,baseline,laplace_dtn,2048,7,7.044507650729922e-14,7.044507650729922e-14,0.003429691327780512,5.1466659642755985,0.45816705096513033,1.298332936130464,6.903165951371193,1.9709444022737443,1.60441076150164,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
circle,baseline,heat,2048,7,1.3396232341509587e-15,1.3396232341509587e-15,0.004059122214494821,5.113458959385753,0.45816705096513033,1.35004089679569,6.921666907146573,2.0212687377352268,1.6547350969631225,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
circle,baseline,poisson,2048,7,1.7763141866540243e-15,1.7763141866540243e-15,0.0032552083333332975,5.066291894763708,0.45816705096513033,1.2836250243708491,6.808083970099688,1.952887570951134,1.5863539301790297,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
circle,baseline,helmholtz,2048,7,2.4212763484389378e-15,2.4212763484389378e-15,0.009470077622541697,5.167790921404958,0.45816705096513033,1.2644999660551548,6.890457938425243,1.9379916387454919,1.5714579979733876,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
circle,baseline,wave,2048,7,2.26038410679779e-15,2.26038410679779e-15,0.006003256717903049,5.142082925885916,0.45816705096513033,1.3543330132961273,6.954582990147173,2.0267535195065043,1.6602198787344,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
golden_ellipse,closed_form_conic,laplace_dtn,2048,7,7.037243405506219e-14,7.037243405506219e-14,0.0034296913277805253,5.1466659642755985,0.6117499433457851,1.296082977205515,7.054498884826899,2.12227733572945,1.6328773810528219,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
golden_ellipse,closed_form_conic,heat,2048,7,1.3426772011297443e-15,1.3426772011297443e-15,0.004059122214494839,5.113458959385753,0.6117499433457851,1.3421660987660289,7.067375001497567,2.1669768320862204,1.6775768774095923,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
golden_ellipse,closed_form_conic,poisson,2048,7,1.811637522547218e-15,1.811637522547218e-15,0.003255208333333318,5.066291894763708,0.6117499433457851,1.2791251065209508,6.957166944630444,2.1019705454818904,1.6125705908052623,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
golden_ellipse,closed_form_conic,helmholtz,2048,7,2.395127498128812e-15,2.395127498128812e-15,0.009470077622541736,5.167790921404958,0.6117499433457851,1.2590420665219426,7.0385829312726855,2.0861166315929345,1.5967166769163064,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
golden_ellipse,closed_form_conic,wave,2048,7,2.2786457244261522e-15,2.2786457244261522e-15,0.006003256717903072,5.142082925885916,0.6117499433457851,1.3349578948691487,7.08879076410085,2.1609612934601805,1.6715613387835524,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
