shape,family,n,reference_n,split_rel_error,bgk8_rel_error,raw_shift_rel_error,dense_q_matrix_stored
circle,baseline,2048,32768,0.0,2.374599973282401e-15,0.0019746346668305563,False
golden_ellipse,closed_form_conic,2048,32768,2.51628259521648e-15,0.0,8.065542305362877e-05,False
eccentric_ellipse,closed_form_conic,2048,32768,5.086739889945813e-15,4.488299902893365e-16,0.0001427913112781548,False
three_petal,smooth_nonconvex,2048,32768,3.1744754394955585e-15,2.6142738913492833e-15,0.0010000306487789067,False
four_lobed_wiggle,smooth_multiscale,2048,32768,1.7530736291135811e-15,2.80491780658173e-15,0.0010065595744855776,False
asymmetric_limacon,asymmetric,2048,32768,1.843006956531082e-14,1.1588604347884832e-13,0.04396536162926718,False
crescent_teardrop,near_cusp_smooth,2048,32768,3.852451492832072e-15,4.237696642115279e-15,0.0008081805688044018,False
peanut,pinched_smooth,2048,32768,5.0937797574431214e-14,2.410775102833962e-13,0.05063064511871323,False
high_frequency_gear,smooth_high_frequency,2048,32768,1.7898996729039073e-14,1.6461851006269514e-14,0.001359239303857533,False
rotated_mixed,complex_coefficients,2048,32768,1.2191473064058061e-14,1.3260900525817539e-14,0.0008226860801159669,False
