shape,family,n,reference_n,true_conformal_offset,monitor_h,bgk_shift,correction_order,reference_value,corrected_value,rel_error,dense_q_matrix_stored
circle,baseline,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,0,-0.24545906446824048,-0.24497437249025375,0.001974634666830331,False
circle,baseline,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,1,-0.24545906446824048,-0.24545904755910242,6.888781271366735e-08,False
circle,baseline,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,2,-0.24545906446824048,-0.24545906446766744,2.3345710023042126e-12,False
circle,baseline,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,4,-0.24545906446824048,-0.24545906446823995,2.148447594874554e-15,False
circle,baseline,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,8,-0.24545906446824048,-0.24545906446823995,2.148447594874554e-15,False
golden_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,0,15.530787575726727,15.532040217969001,8.065542305351439e-05,False
golden_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,1,15.530787575726727,15.530787621926773,2.9747394476875048e-09,False
golden_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,2,15.530787575726727,15.530787575728658,1.2432723550001426e-13,False
golden_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,4,15.530787575726727,15.530787575726725,1.143764816007491e-16,False
golden_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,8,15.530787575726727,15.530787575726725,1.143764816007491e-16,False
eccentric_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,0,5.936624817300408,5.937472515742637,0.0001427913112781548,False
eccentric_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,1,5.936624817300408,5.936624852710353,5.96465942989158e-09,False
eccentric_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,2,5.936624817300408,5.936624817302444,3.42906112581053e-13,False
eccentric_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,4,5.936624817300408,5.936624817300411,4.488299902893365e-16,False
eccentric_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,8,5.936624817300408,5.936624817300411,4.488299902893365e-16,False
three_petal,smooth_nonconvex,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,0,-0.5945483522665658,-0.593953785692118,0.0010000306487792801,False
three_petal,smooth_nonconvex,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,1,-0.5945483522665658,-0.5945483211942681,5.2262019573890886e-08,False
three_petal,smooth_nonconvex,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,2,-0.5945483522665658,-0.5945483522643256,3.767915612831845e-12,False
three_petal,smooth_nonconvex,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,4,-0.5945483522665658,-0.5945483522665671,2.2408061925850997e-15,False
