shape,family,raw_rel_error,bgk1_rel_error,bgk2_rel_error,bgk4_rel_error,bgk8_rel_error,best_rel_error
circle,baseline,0.001974634666830331,6.888781271366735e-08,2.3345710023042126e-12,2.148447594874554e-15,2.148447594874554e-15,2.148447594874554e-15
golden_ellipse,closed_form_conic,8.065542305351439e-05,2.9747394476875048e-09,1.2432723550001426e-13,1.143764816007491e-16,1.143764816007491e-16,1.143764816007491e-16
eccentric_ellipse,closed_form_conic,0.0001427913112781548,5.96465942989158e-09,3.42906112581053e-13,4.488299902893365e-16,4.488299902893365e-16,4.488299902893365e-16
three_petal,smooth_nonconvex,0.0010000306487792801,5.2262019573890886e-08,3.767915612831845e-12,2.2408061925850997e-15,2.2408061925850997e-15,2.2408061925850997e-15
four_lobed_wiggle,smooth_multiscale,0.0010065595744854024,6.34216883342755e-08,6.042844799554514e-12,2.629610443670372e-15,2.629610443670372e-15,2.629610443670372e-15
asymmetric_limaçon,asymmetric,0.04396536162926711,2.036928746078316e-06,1.3094327069196753e-10,1.1602566521797893e-13,1.1602566521797893e-13,1.1602566521797893e-13
crescent_teardrop,near_cusp_smooth,0.0008081805688044018,1.773277142654669e-08,6.630069019163995e-13,4.237696642115279e-15,4.237696642115279e-15,4.237696642115279e-15
peanut,pinched_smooth,0.05063064511868691,2.560655213998067e-06,1.8404289334529114e-10,2.1455617766199902e-13,2.1455617766199902e-13,2.1455617766199902e-13
high_frequency_gear,smooth_high_frequency,0.0013592393038570109,8.534389418181017e-08,1.0687530141792583e-11,1.5939252561626043e-14,1.5939252561626043e-14,1.5939252561626043e-14
rotated_mixed,complex_coefficients,0.0008226860801157527,2.2785471746273503e-09,4.457373660613506e-12,1.3047015033465638e-14,1.3047015033465638e-14,1.3047015033465638e-14
