shape,family,min_speed,max_speed,anisotropy,sample_area,segment_intersections
circle,baseline,1.0,1.0,1.0,3.141513801144302,0
golden_ellipse,closed_form_conic,2.23606797749979,3.0,1.3416407864998738,21.07391523483724,0
eccentric_ellipse,closed_form_conic,1.0,2.5,2.5,7.853784502860752,0
three_petal,smooth_nonconvex,0.48,1.52,3.166666666666667,2.71681311681819,0
four_lobed_wiggle,smooth_multiscale,0.3799751497513431,1.634627455277558,4.301932524659213,2.873387947724596,0
asymmetric_limaçon,asymmetric,0.6477575742786073,1.4594298586524348,2.2530494688198255,3.27126589073833,0
crescent_teardrop,near_cusp_smooth,0.5751706374307823,1.5209921251694427,2.644418936202186,3.3714810325755944,0
peanut,pinched_smooth,0.5800000000000001,1.4011325357482143,2.4157457512900242,3.444374654879063,0
high_frequency_gear,smooth_high_frequency,0.4076003563516003,1.410142121744093,3.4596194526574204,3.0267738784011597,0
rotated_mixed,complex_coefficients,0.7051717625286616,1.5511048672936751,2.1996128457152033,3.375581273073495,0
