label,radius,radius_squared,stress_class,direct_count,shell_count,nearest_shell_k,nearest_shell_multiplicity,min_shell_gap,fp64_checksum,rounded_checksum,abs_rounding_error,plain_trapezoid_n,plain_trapezoid_checksum,plain_trapezoid_abs_error,plain_trapezoid_pass_half_integer_bar,integer_paths_agree,pass_half_integer_bar,inherited_vertex_exponent,inherited_shell_scale,vertex_exponent_rounding_margin,corrupted_checksum,corrupted_rounded_checksum,corrupted_pass_half_integer_bar,elapsed_ms
ordinary_3p25,3.25,10.5625,ordinary,37,37,10,8,0.5625,37.0,37,0.0,512,37.00000129175287,1.2917528664502242e-06,True,True,True,0.5,0.75,0.5,37.51,38,False,16.26962493173778
ordinary_5p75,5.75,33.0625,ordinary,101,101,34,8,0.9375,101.0,101,0.0,512,100.99487185405356,0.0051281459464433965,True,True,True,0.5,0.9682458365518543,0.5,101.51,102,False,22.551249945536256
ordinary_8p50,8.5,72.25,ordinary,225,225,72,4,0.25,225.0,225,0.0,512,227.8043519081677,2.804351908167689,False,True,True,0.5,0.5,0.5,225.51,226,False,34.52733298763633
ordinary_12p30,12.3,151.29000000000002,ordinary,481,481,153,8,1.7099999999999795,481.0,481,0.0,512,480.52443813080816,0.47556186919183574,True,True,True,0.5,1.3076696830621943,0.5,481.51,482,False,56.39974994119257
near_5_shell_inside,4.999999940395355,24.999999403953556,near multi-point shell,69,69,25,12,5.960464442011926e-07,69.0,69,0.0,512,-655284.9964084317,655353.9964084317,False,True,True,0.5,0.0007720404420761859,0.5,69.51,70,False,20.449833944439888
near_5_shell_outside,5.000000059604645,25.00000059604645,near multi-point shell,81,81,25,12,5.960464513066199e-07,81.0,81,0.0,512,655435.0036210213,655354.0036210213,False,True,True,0.5,0.0007720404466779056,0.5,81.51,82,False,22.476500016637146
near_50_shell_inside,7.071067752260831,49.99999915706304,near multi-point shell,149,149,50,12,8.429369628970562e-07,149.0,149,0.0,512,-926663.9823525246,926812.9823525246,False,True,True,0.5,0.0009181159855361719,0.5,149.51,150,False,30.327207990922034
near_50_shell_outside,7.07106787147012,50.00000084293698,near multi-point shell,161,161,50,12,8.429369771079109e-07,161.0,161,0.0,512,926974.0205685546,926813.0205685546,False,True,True,0.5,0.000918115993275311,0.5,161.51,162,False,30.110042076557875
near_65_shell_inside,8.062257688693904,64.99999903890398,near multi-point shell,197,197,65,16,9.610960205463925e-07,197.0,197,0.0,512,205.076886540661,8.076886540661008,False,True,True,0.5,0.000980355048207736,0.5,197.51,198,False,34.664458013139665
near_65_shell_outside,8.062257807903194,65.00000096109602,near multi-point shell,213,213,65,16,9.610960205463925e-07,213.0,213,0.0,512,205.07700017530757,7.922999824692425,False,True,True,0.5,0.000980355048207736,0.5,213.51,214,False,34.40812497865409
near_125_shell_inside,11.180339827894304,124.99999866719963,near high-multiplicity shell,385,385,125,16,1.3328003660717513e-06,385.0,385,0.0,512,392.979460592983,7.979460592983003,False,True,True,0.5,0.0011544697337183645,0.5,385.51,386,False,49.09583297558129
near_125_shell_outside,11.180339947103594,125.0000013328004,near high-multiplicity shell,401,401,125,16,1.3328003944934608e-06,401.0,401,0.0,512,392.97950177992135,8.02049822007865,False,True,True,0.5,0.001154469746027786,0.5,401.51,402,False,48.70362498331815
