integer_trace,half_length,analytic_disk_radius,bernstein_radius,order_for_2e-16_geometric_factor
3,0.9624236501192069,2.23606797749979,4.23606797749979,26
4,1.3169578969248166,1.7320508075688772,3.146264369941972,32
5,1.5667992369724109,1.5275252316519468,2.6822257700311987,37
6,1.7627471740390857,1.4142135623730951,2.4142135623730954,42
7,1.9248473002384137,1.3416407864998738,2.23606797749979,45
8,2.0634370688955603,1.2909944487358056,2.1074910296635316,49
9,2.184643791605109,1.2535663410560174,2.009495287074472,52
10,2.2924316695611773,1.224744871391589,1.9318516525781364,55
11,2.3895264345742184,1.2018504251546631,1.8685170918213299,58
12,2.4778887302884747,1.1832159566199232,1.815671488653599,61
