shape,family,n,operation,ms,build_ms,work_units_reported,fft_work_units_estimate,generated_q_residual,dense_q_matrix_stored
circle,baseline,256,pde_laplace_dtn,0.5248329835012555,1.7849160358309746,256,2048,2.7835660134573066e-14,False
circle,baseline,256,pde_heat,0.48041692934930325,1.7849160358309746,256,2048,6.535229694528463e-15,False
circle,baseline,256,pde_poisson,0.44595799408853054,1.7849160358309746,256,2048,6.5567993742798864e-15,False
circle,baseline,256,pde_helmholtz,0.44704193715006113,1.7849160358309746,256,2048,6.5746063977243655e-15,False
circle,baseline,256,pde_wave,0.44262490700930357,1.7849160358309746,256,2048,6.517710887362198e-15,False
circle,baseline,256,q_bgk4,0.7859579054638743,0.0,2048,2048,1.4699904596510107e-15,False
circle,baseline,256,pde_batch_all5,2.340874751098454,1.7849160358309746,1280,10240,2.7835660134573066e-14,False
circle,baseline,512,pde_laplace_dtn,0.9336249204352498,3.108207951299846,512,4608,6.992766471718715e-14,False
circle,baseline,512,pde_heat,0.9043329628184438,3.108207951299846,512,4608,1.2387223989318853e-14,False
circle,baseline,512,pde_poisson,0.9055410046130419,3.108207951299846,512,4608,1.2282178312589265e-14,False
circle,baseline,512,pde_helmholtz,0.8972079958766699,3.108207951299846,512,4608,1.2378406212799454e-14,False
circle,baseline,512,pde_wave,0.8975829696282744,3.108207951299846,512,4608,1.2490605523502077e-14,False
circle,baseline,512,q_bgk4,1.5479580033570528,0.0,4608,4608,2.2615237840784778e-15,False
circle,baseline,512,pde_batch_all5,4.53828985337168,3.108207951299846,2560,23040,6.992766471718715e-14,False
circle,baseline,1024,pde_laplace_dtn,1.9110830035060644,6.312957964837551,1024,10240,2.1859685327017716e-13,False
circle,baseline,1024,pde_heat,1.8726249691098928,6.312957964837551,1024,10240,2.3347882234590553e-14,False
circle,baseline,1024,pde_poisson,1.870624953880906,6.312957964837551,1024,10240,2.330766330806144e-14,False
circle,baseline,1024,pde_helmholtz,1.8495420226827264,6.312957964837551,1024,10240,2.3317520601272852e-14,False
circle,baseline,1024,pde_wave,1.8704159883782268,6.312957964837551,1024,10240,2.3377741542790605e-14,False
circle,baseline,1024,q_bgk4,3.1225839629769325,0.0,10240,10240,2.2615237840784778e-15,False
circle,baseline,1024,pde_batch_all5,9.374290937557817,6.312957964837551,5120,51200,2.1859685327017716e-13,False
circle,baseline,2048,pde_laplace_dtn,3.9700830820947886,12.28999998420477,2048,22528,5.756945445658266e-13,False
circle,baseline,2048,pde_heat,3.867749939672649,12.28999998420477,2048,22528,4.361495888494168e-15,False
circle,baseline,2048,pde_poisson,3.905292018316686,12.28999998420477,2048,22528,4.473466952772953e-15,False
circle,baseline,2048,pde_helmholtz,3.8784999633207917,12.28999998420477,2048,22528,4.368601439145159e-15,False
circle,baseline,2048,pde_wave,3.938750014640391,12.28999998420477,2048,22528,4.303120535208859e-15,False
circle,baseline,2048,q_bgk4,6.3016669591888785,0.0,22528,22528,2.148447594874554e-15,False
circle,baseline,2048,pde_batch_all5,19.560375018045306,12.28999998420477,10240,112640,5.756945445658266e-13,False
circle,baseline,4096,pde_laplace_dtn,8.180749951861799,30.21970798727125,4096,49152,3.5764293461211647e-12,False
circle,baseline,4096,pde_heat,8.163791033439338,30.21970798727125,4096,49152,5.954635734045134e-14,False
circle,baseline,4096,pde_poisson,8.06204101536423,30.21970798727125,4096,49152,5.947206160698825e-14,False
circle,baseline,4096,pde_helmholtz,8.114249911159277,30.21970798727125,4096,49152,5.949982945127085e-14,False
circle,baseline,4096,pde_wave,8.139541954733431,30.21970798727125,4096,49152,5.963420112697772e-14,False
circle,baseline,4096,q_bgk4,12.908541015349329,0.0,49152,49152,2.0353714056706303e-15,False
circle,baseline,4096,pde_batch_all5,40.660373866558075,30.21970798727125,20480,245760,3.5764293461211647e-12,False
golden_ellipse,closed_form_conic,256,pde_laplace_dtn,0.4842500202357769,2.9577079694718122,256,2048,2.7569809507165895e-14,False
golden_ellipse,closed_form_conic,256,pde_heat,0.45383395627141,2.9577079694718122,256,2048,6.535229694528463e-15,False
golden_ellipse,closed_form_conic,256,pde_poisson,0.4379580495879054,2.9577079694718122,256,2048,6.5567993742798864e-15,False
golden_ellipse,closed_form_conic,256,pde_helmholtz,0.441292067989707,2.9577079694718122,256,2048,6.5746063977243655e-15,False
golden_ellipse,closed_form_conic,256,pde_wave,0.4425420193001628,2.9577079694718122,256,2048,6.517710887362198e-15,False
golden_ellipse,closed_form_conic,256,q_bgk4,1.1160419089719653,0.0,2048,2048,9.150118528059927e-16,False
golden_ellipse,closed_form_conic,256,pde_batch_all5,2.259876113384962,2.9577079694718122,1280,10240,2.7569809507165895e-14,False
golden_ellipse,closed_form_conic,512,pde_laplace_dtn,0.9160420158877969,5.528709036298096,512,4608,6.981912507492952e-14,False
golden_ellipse,closed_form_conic,512,pde_heat,0.9164579678326845,5.528709036298096,512,4608,1.2387223989318853e-14,False
golden_ellipse,closed_form_conic,512,pde_poisson,0.8952079806476831,5.528709036298096,512,4608,1.2282178312589265e-14,False
golden_ellipse,closed_form_conic,512,pde_helmholtz,0.89366699103266,5.528709036298096,512,4608,1.2378406212799454e-14,False
golden_ellipse,closed_form_conic,512,pde_wave,0.9016669355332851,5.528709036298096,512,4608,1.2490605523502077e-14,False
golden_ellipse,closed_form_conic,512,q_bgk4,2.2015420254319906,0.0,4608,4608,4.575059264029964e-16,False
golden_ellipse,closed_form_conic,512,pde_batch_all5,4.52304189093411,5.528709036298096,2560,23040,6.981912507492952e-14,False
golden_ellipse,closed_form_conic,1024,pde_laplace_dtn,1.9084169762209058,11.12466596532613,1024,10240,2.19306679545309e-13,False
golden_ellipse,closed_form_conic,1024,pde_heat,1.863999990746379,11.12466596532613,1024,10240,2.3347882234590553e-14,False
golden_ellipse,closed_form_conic,1024,pde_poisson,1.8624169752001762,11.12466596532613,1024,10240,2.330766330806144e-14,False
golden_ellipse,closed_form_conic,1024,pde_helmholtz,1.8629999831318855,11.12466596532613,1024,10240,2.3317520601272852e-14,False
golden_ellipse,closed_form_conic,1024,pde_wave,1.8622910138219595,11.12466596532613,1024,10240,2.3377741542790605e-14,False
golden_ellipse,closed_form_conic,1024,q_bgk4,4.450500011444092,0.0,10240,10240,2.287529632014982e-16,False
golden_ellipse,closed_form_conic,1024,pde_batch_all5,9.360124939121306,11.12466596532613,5120,51200,2.19306679545309e-13,False
golden_ellipse,closed_form_conic,2048,pde_laplace_dtn,4.082083003595471,22.384291049093008,2048,22528,5.758815552618889e-13,False
golden_ellipse,closed_form_conic,2048,pde_heat,4.022833076305687,22.384291049093008,2048,22528,4.361495888494168e-15,False
golden_ellipse,closed_form_conic,2048,pde_poisson,3.959959023632109,22.384291049093008,2048,22528,4.473466952772953e-15,False
golden_ellipse,closed_form_conic,2048,pde_helmholtz,3.8844580994918942,22.384291049093008,2048,22528,4.368601439145159e-15,False
golden_ellipse,closed_form_conic,2048,pde_wave,4.008041927590966,22.384291049093008,2048,22528,4.303120535208859e-15,False
golden_ellipse,closed_form_conic,2048,q_bgk4,8.950749994255602,0.0,22528,22528,1.143764816007491e-16,False
golden_ellipse,closed_form_conic,2048,pde_batch_all5,19.95737513061613,22.384291049093008,10240,112640,5.758815552618889e-13,False
