source,exists,pages,sha256_prefix,extracted_words,keyword_hits,role_in_report,path
optimal_quadrature_merged (26).pdf,True,30,bf3136b87fff,23511,"Q/kernel:5, DtN/PDE:7, BGK/zeta:4, shape/corner:6",early optimal-Q source; benchmark claim cross-check,/Users/rick/Downloads/optimal_quadrature_merged (26).pdf
optimal_quadrature_merged (37).pdf,True,36,858c2f2c1307,27573,"Q/kernel:5, DtN/PDE:7, BGK/zeta:5, shape/corner:6",later merged optimal-Q source; benchmark claim cross-check,/Users/rick/Downloads/optimal_quadrature_merged (37).pdf
optimal_quadrature_v63_public (11).pdf,True,20,4abcea7d81a5,9950,"Q/kernel:5, DtN/PDE:3, BGK/zeta:3, shape/corner:5","kernel split, circle pullback, QBX/corner claim boundary",/Users/rick/Library/Mobile Documents/com~apple~CloudDocs/optimal_quadrature_v63_public (11).pdf
isl_hessian_v5 (6) copy.pdf,True,125,629ba599ec42,35635,"Q/kernel:4, DtN/PDE:4, BGK/zeta:3, shape/corner:3",ellipse/Hessian/context audit; not a numerical benchmark source,/Users/rick/FREEFORM/oo/isl_hessian_v5 (6) copy.pdf
paper.pdf,True,16,d21c39942f54,5377,"Q/kernel:4, DtN/PDE:2, BGK/zeta:1, shape/corner:3",meshless shape-optimization/autograd context audit,/Users/rick/MESHLESS/paper.pdf
cauchy_transport_calculus_trim (13).pdf,True,18,bb886ba4ecf6,13646,"Q/kernel:5, DtN/PDE:7, BGK/zeta:3, shape/corner:4",Cauchy transport early source; pullback notation audit,/Users/rick/Downloads/cauchy_transport_calculus_trim (13).pdf
cauchy_transport_calculus_trim (41).pdf,True,25,c94caccfd128,18029,"Q/kernel:5, DtN/PDE:7, BGK/zeta:3, shape/corner:6",corner/Joukowski/Kondratiev source audit,/Users/rick/Downloads/cauchy_transport_calculus_trim (41).pdf
cauchy_transport_calculus_trim (47).pdf,True,27,238918055f3b,19298,"Q/kernel:5, DtN/PDE:7, BGK/zeta:3, shape/corner:6",complex scale-phase pullback source audit,/Users/rick/Downloads/cauchy_transport_calculus_trim (47).pdf
cauchy_transport_calculus_trim (49).pdf,True,27,131d02d62832,19295,"Q/kernel:5, DtN/PDE:7, BGK/zeta:3, shape/corner:6",ellipse/de Moivre correction source audit,/Users/rick/Downloads/cauchy_transport_calculus_trim (49).pdf
cauchy_transport_calculus_trim (73).pdf,True,29,c0c8e5932760,21896,"Q/kernel:5, DtN/PDE:7, BGK/zeta:3, shape/corner:6",latest complex pullback and de Moivre source audit,/Users/rick/Downloads/cauchy_transport_calculus_trim (73).pdf
golden_branch_free_tetration_outline.pdf,True,28,15d9ae76cea1,8317,"Q/kernel:2, DtN/PDE:1, BGK/zeta:2, shape/corner:4",golden ellipse/narrative source audit; not a benchmark source,/Users/rick/Library/Mobile Documents/com~apple~CloudDocs/golden_branch_free_tetration_outline.pdf
dtn_bgk_merge (9).pdf,True,22,26c17a4cbfb2,14386,"Q/kernel:4, DtN/PDE:4, BGK/zeta:5, shape/corner:2",DtN/BGK/zeta endpoint correction source,/Users/rick/Downloads/dtn_bgk_merge (9).pdf
harmonic_sp (41).pdf,True,31,0e3e2bd04390,20933,"Q/kernel:4, DtN/PDE:2, BGK/zeta:5, shape/corner:2",harmonic sampling and DtN spectrum source,/Users/rick/Downloads/harmonic_sp (41).pdf
geometry_of_money (16).pdf,True,31,572cc37c67b0,13140,"Q/kernel:2, DtN/PDE:6, BGK/zeta:4, shape/corner:4",BGK continuity correction and chord-arc bookkeeping source,/Users/rick/Library/Mobile Documents/com~apple~CloudDocs/geometry_of_money (16).pdf
