shape,target_kind,panels,corner,interior_angle,lambda,trim,local_delta,zeta_weight,h_lambda
square,corner,24,0.0,1.5707963267948966,2.0,0.36,-0.20019332530596556,0.04166666666666667,0.0625
square,corner,24,1.0,1.5707963267948966,2.0,0.36,0.12669229737622162,0.04166666666666667,0.0625
square,corner,24,2.0,1.5707963267948966,2.0,0.36,0.13110194554429655,0.04166666666666667,0.0625
square,corner,24,3.0,1.5707963267948966,2.0,0.36,0.09831643212379892,0.04166666666666667,0.0625
square,corner,48,0.0,1.5707963267948966,2.0,0.36,-0.2001933253059653,0.04166666666666667,0.0625
square,corner,48,1.0,1.5707963267948966,2.0,0.36,0.12669229737622162,0.04166666666666667,0.0625
square,corner,48,2.0,1.5707963267948966,2.0,0.36,0.13110194554429688,0.04166666666666667,0.0625
square,corner,48,3.0,1.5707963267948966,2.0,0.36,0.09831643212379909,0.04166666666666667,0.0625
square,corner,96,0.0,1.5707963267948966,2.0,0.36,-0.20019332530596506,0.04166666666666667,0.0625
square,corner,96,1.0,1.5707963267948966,2.0,0.36,0.1266922973762214,0.04166666666666667,0.0625
square,corner,96,2.0,1.5707963267948966,2.0,0.36,0.13110194554429644,0.04166666666666667,0.0625
square,corner,96,3.0,1.5707963267948966,2.0,0.36,0.09831643212379931,0.04166666666666667,0.0625
square,corner,192,0.0,1.5707963267948966,2.0,0.36,-0.20019332530596512,0.04166666666666667,0.0625
square,corner,192,1.0,1.5707963267948966,2.0,0.36,0.12669229737622117,0.04166666666666667,0.0625
square,corner,192,2.0,1.5707963267948966,2.0,0.36,0.13110194554429666,0.04166666666666667,0.0625
square,corner,192,3.0,1.5707963267948966,2.0,0.36,0.09831643212379887,0.04166666666666667,0.0625
square,edge,24,0.0,1.5707963267948966,2.0,0.36,0.00845203970152568,0.04166666666666667,0.0625
square,edge,24,1.0,1.5707963267948966,2.0,0.36,0.01008664633115958,0.04166666666666667,0.0625
square,edge,24,2.0,1.5707963267948966,2.0,0.36,0.10364331530804954,0.04166666666666667,0.0625
square,edge,24,3.0,1.5707963267948966,2.0,0.36,0.1100731895297471,0.04166666666666667,0.0625
square,edge,48,0.0,1.5707963267948966,2.0,0.36,0.008452039701525617,0.04166666666666667,0.0625
square,edge,48,1.0,1.5707963267948966,2.0,0.36,0.010086646331159608,0.04166666666666667,0.0625
square,edge,48,2.0,1.5707963267948966,2.0,0.36,0.10364331530804971,0.04166666666666667,0.0625
square,edge,48,3.0,1.5707963267948966,2.0,0.36,0.11007318952974654,0.04166666666666667,0.0625
square,edge,96,0.0,1.5707963267948966,2.0,0.36,0.008452039701525645,0.04166666666666667,0.0625
square,edge,96,1.0,1.5707963267948966,2.0,0.36,0.010086646331159521,0.04166666666666667,0.0625
square,edge,96,2.0,1.5707963267948966,2.0,0.36,0.10364331530804943,0.04166666666666667,0.0625
square,edge,96,3.0,1.5707963267948966,2.0,0.36,0.11007318952974737,0.04166666666666667,0.0625
square,edge,192,0.0,1.5707963267948966,2.0,0.36,0.00845203970152561,0.04166666666666667,0.0625
square,edge,192,1.0,1.5707963267948966,2.0,0.36,0.010086646331159604,0.04166666666666667,0.0625
square,edge,192,2.0,1.5707963267948966,2.0,0.36,0.10364331530804954,0.04166666666666667,0.0625
square,edge,192,3.0,1.5707963267948966,2.0,0.36,0.1100731895297466,0.04166666666666667,0.0625
l_notch,corner,24,0.0,1.5707963267948966,2.0,0.36899999999999994,-0.20130131204357327,0.04166666666666667,0.027777777777777776
l_notch,corner,24,1.0,1.5707963267948966,2.0,0.2196,0.09946498906404216,0.04166666666666667,0.027777777777777776
l_notch,corner,24,2.0,1.5707963267948966,2.0,0.1872,0.07674073198253811,0.04166666666666667,0.027777777777777776
l_notch,corner,24,3.0,4.71238898038469,0.6666666666666666,0.1494,0.033203160924062475,-0.25299681633894844,0.3028534321386899
l_notch,corner,24,4.0,1.5707963267948966,2.0,0.1494,0.06884892646890789,0.04166666666666667,0.027777777777777776
l_notch,corner,24,5.0,1.5707963267948966,2.0,0.24479999999999996,0.0606736115426138,0.04166666666666667,0.027777777777777776
l_notch,corner,48,0.0,1.5707963267948966,2.0,0.36899999999999994,-0.2013013120435735,0.04166666666666667,0.027777777777777776
l_notch,corner,48,1.0,1.5707963267948966,2.0,0.2196,0.09946498906404211,0.04166666666666667,0.027777777777777776
l_notch,corner,48,2.0,1.5707963267948966,2.0,0.1872,0.07674073198253817,0.04166666666666667,0.027777777777777776
l_notch,corner,48,3.0,4.71238898038469,0.6666666666666666,0.1494,0.03320316092406253,-0.25299681633894844,0.3028534321386899
l_notch,corner,48,4.0,1.5707963267948966,2.0,0.1494,0.068848926468908,0.04166666666666667,0.027777777777777776
l_notch,corner,48,5.0,1.5707963267948966,2.0,0.24479999999999996,0.06067361154261364,0.04166666666666667,0.027777777777777776
l_notch,corner,96,0.0,1.5707963267948966,2.0,0.36899999999999994,-0.20130131204357327,0.04166666666666667,0.027777777777777776
l_notch,corner,96,1.0,1.5707963267948966,2.0,0.2196,0.09946498906404239,0.04166666666666667,0.027777777777777776
l_notch,corner,96,2.0,1.5707963267948966,2.0,0.1872,0.076740731982538,0.04166666666666667,0.027777777777777776
l_notch,corner,96,3.0,4.71238898038469,0.6666666666666666,0.1494,0.03320316092406264,-0.25299681633894844,0.3028534321386899
l_notch,corner,96,4.0,1.5707963267948966,2.0,0.1494,0.06884892646890811,0.04166666666666667,0.027777777777777776
l_notch,corner,96,5.0,1.5707963267948966,2.0,0.24479999999999996,0.06067361154261364,0.04166666666666667,0.027777777777777776
l_notch,corner,192,0.0,1.5707963267948966,2.0,0.36899999999999994,-0.2013013120435732,0.04166666666666667,0.027777777777777776
l_notch,corner,192,1.0,1.5707963267948966,2.0,0.2196,0.09946498906404255,0.04166666666666667,0.027777777777777776
l_notch,corner,192,2.0,1.5707963267948966,2.0,0.1872,0.07674073198253806,0.04166666666666667,0.027777777777777776
l_notch,corner,192,3.0,4.71238898038469,0.6666666666666666,0.1494,0.033203160924062586,-0.25299681633894844,0.3028534321386899
l_notch,corner,192,4.0,1.5707963267948966,2.0,0.1494,0.06884892646890789,0.04166666666666667,0.027777777777777776
l_notch,corner,192,5.0,1.5707963267948966,2.0,0.24479999999999996,0.060673611542613526,0.04166666666666667,0.027777777777777776
l_notch,edge,24,0.0,1.5707963267948966,2.0,0.36899999999999994,0.03814034354953061,0.04166666666666667,0.027777777777777776
l_notch,edge,24,1.0,1.5707963267948966,2.0,0.2196,0.023131102241061505,0.04166666666666667,0.027777777777777776
l_notch,edge,24,2.0,1.5707963267948966,2.0,0.1872,0.04666545774524852,0.04166666666666667,0.027777777777777776
l_notch,edge,24,3.0,4.71238898038469,0.6666666666666666,0.1494,0.017655352979590616,-0.25299681633894844,0.3028534321386899
l_notch,edge,24,4.0,1.5707963267948966,2.0,0.1494,0.05736637659506261,0.04166666666666667,0.027777777777777776
l_notch,edge,24,5.0,1.5707963267948966,2.0,0.24479999999999996,0.07079301301609764,0.04166666666666667,0.027777777777777776
l_notch,edge,48,0.0,1.5707963267948966,2.0,0.36899999999999994,0.038140343549530664,0.04166666666666667,0.027777777777777776
l_notch,edge,48,1.0,1.5707963267948966,2.0,0.2196,0.023131102241061532,0.04166666666666667,0.027777777777777776
l_notch,edge,48,2.0,1.5707963267948966,2.0,0.1872,0.04666545774524858,0.04166666666666667,0.027777777777777776
l_notch,edge,48,3.0,4.71238898038469,0.6666666666666666,0.1494,0.017655352979590547,-0.25299681633894844,0.3028534321386899
l_notch,edge,48,4.0,1.5707963267948966,2.0,0.1494,0.05736637659506261,0.04166666666666667,0.027777777777777776
l_notch,edge,48,5.0,1.5707963267948966,2.0,0.24479999999999996,0.07079301301609758,0.04166666666666667,0.027777777777777776
l_notch,edge,96,0.0,1.5707963267948966,2.0,0.36899999999999994,0.03814034354953069,0.04166666666666667,0.027777777777777776
l_notch,edge,96,1.0,1.5707963267948966,2.0,0.2196,0.023131102241061477,0.04166666666666667,0.027777777777777776
l_notch,edge,96,2.0,1.5707963267948966,2.0,0.1872,0.046665457745248634,0.04166666666666667,0.027777777777777776
l_notch,edge,96,3.0,4.71238898038469,0.6666666666666666,0.1494,0.017655352979590533,-0.25299681633894844,0.3028534321386899
l_notch,edge,96,4.0,1.5707963267948966,2.0,0.1494,0.05736637659506269,0.04166666666666667,0.027777777777777776
l_notch,edge,96,5.0,1.5707963267948966,2.0,0.24479999999999996,0.07079301301609792,0.04166666666666667,0.027777777777777776
l_notch,edge,192,0.0,1.5707963267948966,2.0,0.36899999999999994,0.0381403435495305,0.04166666666666667,0.027777777777777776
l_notch,edge,192,1.0,1.5707963267948966,2.0,0.2196,0.02313110224106149,0.04166666666666667,0.027777777777777776
l_notch,edge,192,2.0,1.5707963267948966,2.0,0.1872,0.04666545774524847,0.04166666666666667,0.027777777777777776
l_notch,edge,192,3.0,4.71238898038469,0.6666666666666666,0.1494,0.017655352979590547,-0.25299681633894844,0.3028534321386899
l_notch,edge,192,4.0,1.5707963267948966,2.0,0.1494,0.05736637659506255,0.04166666666666667,0.027777777777777776
l_notch,edge,192,5.0,1.5707963267948966,2.0,0.24479999999999996,0.0707930130160977,0.04166666666666667,0.027777777777777776
star,corner,24,0.0,0.6846964712489774,4.588299758371926,0.1512798591360222,-0.25925653594265785,-0.2410472185620165,2.5804784801343726e-05
star,corner,24,1.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.0003016528141242536,-0.1816135228676527,0.18899027240859212
star,corner,24,2.0,0.6846964712489774,4.588299758371926,0.15127985913602224,0.03630203158957371,-0.2410472185620165,2.5804784801343726e-05
star,corner,24,3.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.017177687277729614,-0.1816135228676527,0.18899027240859212
star,corner,24,4.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.10051938939351451,-0.2410472185620165,2.5804784801343726e-05
star,corner,24,5.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.015423064850095758,-0.1816135228676527,0.18899027240859212
star,corner,24,6.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.10929025559596833,-0.2410472185620165,2.5804784801343726e-05
