kind,channel,rung,kondratiev_exponent,compiled_reference_order,independent_reference_order,raw_absolute_error,repaid_absolute_error,reference_disagreement,support_nodes
edge,edge_0,0,2.0,12,16,0.00429339677635221,1.1102230246251565e-16,1.1102230246251565e-16,18
edge,edge_0,1,2.0,12,16,0.0022137188232421168,5.551115123125783e-17,5.551115123125783e-17,18
edge,edge_0,2,2.0,12,16,0.003847096330571731,3.0531133177191805e-16,3.0531133177191805e-16,18
edge,edge_0,3,2.0,12,16,0.008840920597627117,1.1102230246251565e-16,1.1102230246251565e-16,18
edge,edge_2,0,2.0,12,16,0.0019354918673160082,3.3306690738754696e-16,3.3306690738754696e-16,18
edge,edge_2,1,2.0,12,16,0.00912679887843354,3.885780586188048e-16,3.885780586188048e-16,18
edge,edge_2,2,2.0,12,16,0.017467546677111506,5.551115123125783e-17,5.551115123125783e-17,18
edge,edge_2,3,2.0,12,16,0.021122969792388313,1.1102230246251565e-16,1.1102230246251565e-16,18
edge,edge_3,0,2.0,12,16,0.004293396776352321,4.440892098500626e-16,4.440892098500626e-16,18
edge,edge_3,1,2.0,12,16,0.0022137188232421723,1.1102230246251565e-16,1.1102230246251565e-16,18
edge,edge_3,2,2.0,12,16,0.003847096330571592,2.498001805406602e-16,2.498001805406602e-16,18
edge,edge_3,3,2.0,12,16,0.008840920597627061,9.71445146547012e-17,9.71445146547012e-17,18
edge,edge_5,0,2.0,12,16,0.015483934938524624,3.3306690738754696e-16,3.3306690738754696e-16,18
edge,edge_5,1,2.0,12,16,0.023001376971405363,2.7755575615628914e-16,2.7755575615628914e-16,18
edge,edge_5,2,2.0,12,16,0.025452552885007057,1.6653345369377348e-16,1.6653345369377348e-16,18
edge,edge_5,3,2.0,12,16,0.02328633971163635,0.0,0.0,18
edge,edge_6,0,2.0,12,16,0.00429339677635221,2.220446049250313e-16,2.220446049250313e-16,18
edge,edge_6,1,2.0,12,16,0.0022137188232421723,1.1102230246251565e-16,1.1102230246251565e-16,18
edge,edge_6,2,2.0,12,16,0.0038470963305716477,0.0,0.0,18
edge,edge_6,3,2.0,12,16,0.008840920597626895,6.938893903907228e-17,6.938893903907228e-17,18
edge,edge_8,0,2.0,12,16,0.0019354918673158972,3.3306690738754696e-16,3.3306690738754696e-16,18
edge,edge_8,1,2.0,12,16,0.00912679887843354,3.3306690738754696e-16,3.3306690738754696e-16,18
edge,edge_8,2,2.0,12,16,0.01746754667711156,5.551115123125783e-17,5.551115123125783e-17,18
edge,edge_8,3,2.0,12,16,0.021122969792388202,0.0,0.0,18
edge,edge_9,0,2.0,12,16,0.00429339677635221,2.220446049250313e-16,2.220446049250313e-16,18
edge,edge_9,1,2.0,12,16,0.0022137188232421723,1.1102230246251565e-16,1.1102230246251565e-16,18
edge,edge_9,2,2.0,12,16,0.0038470963305716477,0.0,0.0,18
edge,edge_9,3,2.0,12,16,0.008840920597626895,6.938893903907228e-17,6.938893903907228e-17,18
edge,edge_12,0,2.0,12,16,0.00429339677635221,2.220446049250313e-16,2.220446049250313e-16,18
edge,edge_12,1,2.0,12,16,0.0022137188232421723,1.1102230246251565e-16,1.1102230246251565e-16,18
edge,edge_12,2,2.0,12,16,0.0038470963305716477,0.0,0.0,18
edge,edge_12,3,2.0,12,16,0.008840920597626895,6.938893903907228e-17,6.938893903907228e-17,18
edge,edge_13,0,2.0,12,16,0.015483934938525512,6.661338147750939e-16,6.661338147750939e-16,18
edge,edge_13,1,2.0,12,16,0.02300137697140564,1.6653345369377348e-16,1.6653345369377348e-16,18
edge,edge_13,2,2.0,12,16,0.02545255288500678,4.440892098500626e-16,4.440892098500626e-16,18
edge,edge_13,3,2.0,12,16,0.023286339711636045,1.6653345369377348e-16,1.6653345369377348e-16,18
edge,edge_15,0,2.0,12,16,0.007728114197435909,6.661338147750939e-16,6.661338147750939e-16,18
edge,edge_15,1,2.0,12,16,0.008709713402920316,5.551115123125783e-17,5.551115123125783e-17,18
edge,edge_15,2,2.0,12,16,0.009425170148963796,2.220446049250313e-16,2.220446049250313e-16,18
edge,edge_15,3,2.0,12,16,0.010181860926108496,0.0,0.0,18
edge,edge_16,0,2.0,12,16,0.015483934938525401,4.440892098500626e-16,4.440892098500626e-16,18
