shape,refinement,nodes,mode,held_out_degree,maximum_compiled_degree,maximum_adaptively_inspected_degree,used_in_compilation_or_selection,raw_relative_error,repaid_relative_error,raw_apply_ms,repaid_apply_ms,compression_inf_bound
exact_sphere,0,72,H4_0,4,0,0,False,0.4489737210624045,0.9660057180435377,4.4191249762661755,4.5363749959506094,0.0
exact_sphere,0,72,H4_4,4,0,0,False,0.4505629828288575,1.0869064280280996,4.302833986002952,4.526750009972602,0.0
exact_sphere,0,72,H4_8,4,0,0,False,0.5263479776841842,0.7713464373276748,4.228667006827891,4.5385839766822755,0.0
exact_sphere,0,72,H5_0,5,0,0,False,0.48900428179380967,1.0754794458575208,4.260790999978781,4.527334007434547,0.0
exact_sphere,0,72,H5_5,5,0,0,False,0.4890042817938097,1.0754794458575208,4.188958031591028,4.567458003293723,0.0
exact_sphere,0,72,H5_10,5,0,0,False,0.5596810171165449,0.9991700345252287,4.190500010736287,4.5765829854644835,0.0
exact_sphere,1,288,H4_0,4,0,0,False,0.3844460596363536,0.47111315231161843,59.279208013322204,60.79279200639576,4.272571142200858e-09
exact_sphere,1,288,H4_4,4,0,0,False,0.3334964912746402,0.35589831881744516,59.496917005162686,59.22412499785423,4.195623561572562e-09
exact_sphere,1,288,H4_8,4,0,0,False,0.41882851578281305,0.41015113158212757,58.82954195840284,59.73691702820361,6.998445683927006e-09
exact_sphere,1,288,H5_0,5,0,0,False,0.3693737749367372,0.4344176753420789,58.57362499227747,59.60112501634285,2.161316855747587e-09
exact_sphere,1,288,H5_5,5,0,0,False,0.36937377493673657,0.4344176753420857,58.287041960284114,59.33891696622595,2.1658408486928754e-09
exact_sphere,1,288,H5_10,5,0,0,False,0.4139237502634383,0.494569298544446,58.5564169450663,59.34133398113772,3.736150131020489e-09
exact_sphere,2,1152,H4_0,4,0,0,False,0.31114238064292316,0.3088944415057235,1984.2090420424938,1981.658459000755,1.2358899083787924e-08
exact_sphere,2,1152,H4_4,4,0,0,False,0.2973887892495167,0.3280829107944718,1983.6681669694372,1992.4300839775242,1.6696328612363146e-08
exact_sphere,2,1152,H4_8,4,0,0,False,0.482539978258093,0.3496253229225225,1988.3146670181304,1997.4555000080727,1.935179541513945e-08
exact_sphere,2,1152,H5_0,5,0,0,False,0.29680171253756815,0.32149981398678396,1996.3460830040276,1996.164707990829,8.855299955104885e-09
exact_sphere,2,1152,H5_5,5,0,0,False,0.2968017125375601,0.3214998139868058,1998.18316596793,1990.8352909842506,8.758805286029417e-09
exact_sphere,2,1152,H5_10,5,0,0,False,0.45139858814395745,0.3369789021223025,1997.6822920143604,2000.29104197165,1.0340939674601585e-08
exact_ellipsoid,0,72,H4_0,4,2,3,False,0.504188184168134,1.6081971174845437,4.287624964490533,115.09566701715812,0.0
exact_ellipsoid,0,72,H4_4,4,2,3,False,0.39105046628135093,2.362499635623526,4.267833021003753,4.729999986011535,0.0
exact_ellipsoid,0,72,H4_8,4,2,3,False,0.49521416263426915,1.0774605502857768,4.367917019408196,4.6950000105425715,0.0
exact_ellipsoid,0,72,H5_0,5,2,3,False,0.4023573483650832,2.525678653816171,4.628666036296636,4.738208022899926,0.0
exact_ellipsoid,0,72,H5_5,5,2,3,False,0.49357649679934684,1.846157494418236,4.217458015773445,4.717791976872832,0.0
exact_ellipsoid,0,72,H5_10,5,2,3,False,0.5012563598592853,1.1663943153029637,4.209249978885055,4.75820800056681,0.0
exact_ellipsoid,1,288,H4_0,4,2,3,False,0.39744783735269745,0.5018957946135089,78.68704199790955,1907.288458023686,8.576434009425387e-09
exact_ellipsoid,1,288,H4_4,4,2,3,False,0.41025820499611165,0.5130729586440622,78.02829099819064,79.53204098157585,1.22185402240529e-08
exact_ellipsoid,1,288,H4_8,4,2,3,False,0.3557304282037863,0.3695547102557116,78.4214170416817,79.11829196382314,1.1285383422632988e-08
exact_ellipsoid,1,288,H5_0,5,2,3,False,0.3846131263741388,0.5158019661020101,78.82779196370393,78.7996249855496,9.14881640851144e-09
exact_ellipsoid,1,288,H5_5,5,2,3,False,0.35645863278645185,0.6041695444570908,77.50879100058228,79.77091596694663,6.5649377954153725e-09
exact_ellipsoid,1,288,H5_10,5,2,3,False,0.4168526973463836,0.5565063024011765,78.75787501689047,79.81600001221523,6.0912408500089025e-09
exact_ellipsoid,2,1152,H4_0,4,2,3,False,0.4228845795885141,0.3030487096209452,2261.7414169944823,54113.60487504862,7.225189541199624e-08
exact_ellipsoid,2,1152,H4_4,4,2,3,False,0.44343149517160396,0.3490190471819418,2253.2930829911493,2256.4434579689987,8.194224610732962e-08
exact_ellipsoid,2,1152,H4_8,4,2,3,False,0.476285808135714,0.29749170362808036,2278.631374996621,2265.6506249913946,7.558325974259461e-08
exact_ellipsoid,2,1152,H5_0,5,2,3,False,0.4003397847135436,0.38423188881163606,2263.100292009767,2265.37062501302,6.315054613261527e-08
exact_ellipsoid,2,1152,H5_5,5,2,3,False,0.4028114898636749,0.3463242550676496,2271.2416669819504,2266.6397080174647,5.335513525308399e-08
exact_ellipsoid,2,1152,H5_10,5,2,3,False,0.3588246302546656,0.3390241769292442,2267.076791031286,2269.1993750049733,4.394821114019712e-08
funky_pn,0,72,H4_0,4,2,3,False,0.39037468059940195,0.7931974361315339,4.345834022387862,115.86333299055696,0.0
funky_pn,0,72,H4_4,4,2,3,False,0.40246599421195467,1.0547172689316484,4.2127919732593,4.728417028672993,0.0
funky_pn,0,72,H4_8,4,2,3,False,0.41159908087793545,0.9281705556976177,4.20195801416412,5.057834030594677,0.0
funky_pn,0,72,H5_0,5,2,3,False,0.4265027422280454,1.1594671533410494,4.241582995746285,4.6471660025417805,0.0
funky_pn,0,72,H5_5,5,2,3,False,0.42188550572691746,0.9136590596550348,4.254915984347463,4.597874998580664,0.0
funky_pn,0,72,H5_10,5,2,3,False,0.4123024481998493,1.2416533852117757,4.290250013582408,4.585208022035658,0.0
funky_pn,1,288,H4_0,4,2,3,False,0.3899738539990069,0.4905828085589759,75.70541702443734,1824.0204579778947,4.32491428639364e-09
funky_pn,1,288,H4_4,4,2,3,False,0.37404591402628456,0.42893250410450945,74.68304096255451,76.97379100136459,4.388604193940117e-09
funky_pn,1,288,H4_8,4,2,3,False,0.37671858722709173,0.5185998244318196,73.7538340035826,75.88770799338818,4.212454421055574e-09
funky_pn,1,288,H5_0,5,2,3,False,0.36969853336998243,0.4667289148751224,74.7125829802826,75.89341601124033,2.400466993184723e-09
funky_pn,1,288,H5_5,5,2,3,False,0.3672091396438535,0.5155667200070897,73.97737499559298,76.00162498420104,2.4420848150856537e-09
funky_pn,1,288,H5_10,5,2,3,False,0.5579201307959468,0.6489705220291847,74.98933305032551,75.48758300254121,2.4968189400851796e-09
funky_pn,2,1152,H4_0,4,2,3,False,0.3692478427098109,0.28667769159202605,2135.2213339996524,51256.37200003257,2.9712591842503172e-08
funky_pn,2,1152,H4_4,4,2,3,False,0.33842321921922003,0.29483566832085045,2143.3136660489254,2150.8739580167457,4.104929753722312e-08
funky_pn,2,1152,H4_8,4,2,3,False,0.5043281339890419,0.3527069877171238,2137.7984159626067,2141.4700839668512,3.490343889276429e-08
funky_pn,2,1152,H5_0,5,2,3,False,0.31957761388014144,0.31440241883739084,2142.444958037231,2139.0617500292137,2.39307124982225e-08
funky_pn,2,1152,H5_5,5,2,3,False,0.3547642590100065,0.3167872008622719,2136.08641596511,2140.9891250077635,1.7195758928990263e-08
funky_pn,2,1152,H5_10,5,2,3,False,0.5253194662174493,0.36989360667581583,2137.838832975831,2145.492374955211,2.6966048815945617e-08
