shape,regularity,n,mode_band,mode,segment_anisotropy,cosecant_action_rel_error,cosecant_repaid_action_rel_error,lag_average_action_rel_error,cosecant_far_kernel_rel_error,lag_average_far_kernel_rel_error,prime_form_far_rel_defect,prime_form_negative_fraction,cosecant_residual_local_fraction,cosecant_setup_ms,lag_average_setup_ms,direct_apply_ms,cosecant_apply_ms,cosecant_repaid_apply_ms,lag_average_apply_ms,dense_matrix_stored
circle,smooth,64,low,3,1.0000000000000107,5.244412894712399e-15,2.695716825514306e-15,7.434114423548136e-15,1.3572024424970714e-15,1.36378765510524e-15,1.495342717318676e-16,0.0,0.9998229612714864,0.0038330035749822855,0.5466250004246831,0.38666700129397213,0.16283299191854894,0.20695799321401864,0.11116699897684157,False
circle,smooth,64,high,15,1.0000000000000107,3.690667566284047e-15,1.2577940497854649e-15,3.320795451783111e-15,1.3572024424970714e-15,1.36378765510524e-15,1.495342717318676e-16,0.0,0.9998229612714864,0.0038330035749822855,0.5466250004246831,0.3876249975292012,0.13829099771101028,0.19712500215973705,0.10641699191182852,False
circle,smooth,128,low,3,1.0000000000000357,9.663365454858465e-15,4.779045212524117e-15,1.780694385295342e-14,3.0112781778486594e-15,2.769236986861396e-15,1.6252331901738871e-16,0.0,0.9997980548871146,0.0018339924281463027,2.1494170068763196,1.6282909928122535,0.3003750025527552,0.44970800809096545,0.29237499984446913,False
circle,smooth,128,high,31,1.0000000000000357,7.616627279513972e-15,1.5736401845309276e-15,7.467301467850908e-15,3.0112781778486594e-15,2.769236986861396e-15,1.6252331901738871e-16,0.0,0.9997980548871146,0.0018339924281463027,2.1494170068763196,1.6271249915007502,0.31179199868347496,0.4614169884007424,0.2035409997915849,False
circle,smooth,256,low,3,1.0000000000000613,5.943933401275219e-14,5.786279255439578e-14,1.3873243792936295e-13,5.60130409523721e-15,5.572901409977666e-15,1.5020202741969905e-16,0.0,0.9997156821794869,0.001167005393654108,8.662041000206955,6.538041008752771,0.5735830054618418,0.7995840132934973,0.4458330076886341,False
circle,smooth,256,high,63,1.0000000000000613,1.3728628900866992e-14,7.876888717105108e-15,1.1167190012158678e-14,5.60130409523721e-15,5.572901409977666e-15,1.5020202741969905e-16,0.0,0.9997156821794869,0.001167005393654108,8.662041000206955,6.16200000513345,0.5463330016937107,0.78691600356251,0.4402920021675527,False
golden_ellipse,smooth,64,low,3,1.000829042146537,0.006571036710696763,0.0066145628871560605,0.00204534193925104,0.032659899776515844,0.03198539494287109,0.009972375806584938,0.0,0.3156376409916792,0.002582994056865573,0.5967910110484809,0.38749999657738954,0.14404200192075223,0.20095899526495486,0.10945899703074247,False
golden_ellipse,smooth,64,high,15,1.000829042146537,0.0019086577708099285,0.002126627156725362,2.2824345808191766e-06,0.032659899776515844,0.03198539494287109,0.009972375806584938,0.0,0.3156376409916792,0.002582994056865573,0.5967910110484809,0.38212499930523336,0.13470799603965133,0.19870800315402448,0.11116599489469081,False
golden_ellipse,smooth,128,low,3,1.0002074808905077,0.006358145471186628,0.006357891304974955,0.001989726732581205,0.012211081975486284,0.011966410751105057,0.0036318949500471448,0.0,0.2223551348572716,0.0015420082490891218,2.177458009100519,1.76229199860245,0.29725000786129385,0.3959170135203749,0.2049999893642962,False
golden_ellipse,smooth,128,high,31,1.0002074808905077,0.0009356428403906491,0.0009423688162765129,1.0509520354151757e-06,0.012211081975486284,0.011966410751105057,0.0036318949500471448,0.0,0.2223551348572716,0.0015420082490891218,2.177458009100519,1.555832990561612,0.2997919946210459,0.40966599772218615,0.20054199558217078,False
golden_ellipse,smooth,256,low,3,1.0000518840206212,0.006265537637404605,0.006265402556912479,0.00196339896890236,0.004410041246450372,0.004322942260286031,0.0012938116754692126,0.0,0.15693845729466616,0.0022500025806948543,8.64058300794568,6.148250002297573,0.555749997147359,0.7534580072388053,0.43283299601171166,False
golden_ellipse,smooth,256,high,63,1.0000518840206212,0.00046342172079805004,0.0004586591075919578,5.211360510389172e-07,0.004410041246450372,0.004322942260286031,0.0012938116754692126,0.0,0.15693845729466616,0.0022500025806948543,8.64058300794568,6.145791994640604,0.5256669974187389,0.758833994041197,0.42595800186973065,False
starfish_5,smooth,64,low,3,1.0425352900339067,0.2775760563170179,0.26544924472716364,0.10459718263833279,0.2962928653478778,0.17639143051937548,0.3748646164662598,0.13157894736842105,0.6856397886741254,0.003040986484847963,0.6129579996922985,0.40229099977295846,0.17304098582826555,0.20233400573488325,0.10887499956879765,False
starfish_5,smooth,64,high,15,1.0425352900339067,0.08551393552114904,0.06233962805680465,0.021231611966468358,0.2962928653478778,0.17639143051937548,0.3748646164662598,0.13157894736842105,0.6856397886741254,0.003040986484847963,0.6129579996922985,0.3947919904021546,0.1388749951729551,0.20391700672917068,0.10558299254626036,False
starfish_5,smooth,128,low,3,1.0128813692818723,0.27226289323811376,0.2702523350067604,0.10265803125204916,0.14992630226427742,0.0959727818839046,0.17265102449949105,0.14798553719008264,0.5499887458970174,0.0022089952835813165,2.0627499907277524,1.6227919986704364,0.2969579945784062,0.4350829985924065,0.22670799808111042,False
starfish_5,smooth,128,high,31,1.0128813692818723,0.0437238101393234,0.0375476115660032,0.010304514137068298,0.14992630226427742,0.0959727818839046,0.17265102449949105,0.14798553719008264,0.5499887458970174,0.0022089952835813165,2.0627499907277524,1.6866250080056489,0.27874999796040356,0.44062500819563866,0.19870900723617524,False
starfish_5,smooth,256,low,3,1.0034143470402417,0.2696457982339117,0.2693587470699722,0.10167110792189675,0.06306993126259156,0.04275210430949695,0.06712551513043055,0.14859437751004015,0.4105887846623811,0.0026670022634789348,8.485500002279878,6.120916994404979,0.5712919955840334,0.7725000032223761,0.4345420020399615,False
starfish_5,smooth,256,high,63,1.0034143470402417,0.02217913303159588,0.02052864888963799,0.005273534858420877,0.06306993126259156,0.04275210430949695,0.06712551513043055,0.14859437751004015,0.4105887846623811,0.0026670022634789348,8.485500002279878,6.210334002389573,0.5231669929344207,0.7906249957159162,0.37079201138112694,False
asymmetric_fourier,smooth,64,low,3,1.0367485923292457,0.09515237441846883,0.09163107216755398,0.05229390044244942,0.14222357338841152,0.11312535116566387,0.16431684335511454,0.005482456140350877,0.731642057685037,0.0024579931050539017,0.5916250083828345,0.3974169958382845,0.1482499937992543,0.1991660101339221,0.10729100904427469,False
asymmetric_fourier,smooth,64,high,15,1.0367485923292457,0.030728726440744605,0.022486406571539535,0.01373408010167381,0.14222357338841152,0.11312535116566387,0.16431684335511454,0.005482456140350877,0.731642057685037,0.0024579931050539017,0.5916250083828345,0.3910410014213994,0.15104201156646013,0.19545800751075149,0.10550000297371298,False
asymmetric_fourier,smooth,128,low,3,1.0106713741886881,0.09402976452021072,0.09342000265472553,0.05140455532907278,0.06589339624607729,0.0540009180689925,0.06984736232157764,0.008393595041322314,0.5707688780752616,0.0030840019462630153,2.0461249951040372,1.502290993812494,0.25916700542438775,0.36904199805576354,0.19424999481998384,False
asymmetric_fourier,smooth,128,high,31,1.0106713741886881,0.015957394197341053,0.013266464905031194,0.007743750384868462,0.06589339624607729,0.0540009180689925,0.06984736232157764,0.008393595041322314,0.5707688780752616,0.0030840019462630153,2.0461249951040372,1.5134579880395904,0.25216699577867985,0.3752919874386862,0.19808299839496613,False
asymmetric_fourier,smooth,256,low,3,1.0027834807123046,0.09361616587376986,0.09352593999739718,0.0510134422593709,0.026804413075150715,0.022464154988509823,0.02608448946507891,0.00897339357429719,0.4238084634330258,0.0029589864425361156,8.582333000958897,5.955500004347414,0.5202079919399694,0.7394159911200404,0.3860830038320273,False
asymmetric_fourier,smooth,256,high,63,1.0027834807123046,0.007888322010055,0.007207116823050208,0.003778268823717264,0.026804413075150715,0.022464154988509823,0.02608448946507891,0.00897339357429719,0.4238084634330258,0.0029589864425361156,8.582333000958897,6.090708004194312,0.5125829920871183,0.7426250085700303,0.39120799920056015,False
peanut,smooth_concave,64,low,3,1.0061659804700334,0.06539498273079224,0.06317175563701996,0.025204888881788054,0.10433716708047039,0.08781326865694947,0.0959334835727258,0.0,0.330181749570994,0.0026670022634789348,0.5505000008270144,0.3974999999627471,0.1552909961901605,0.21058300626464188,0.21466700127348304,False
peanut,smooth_concave,64,high,15,1.0061659804700334,0.019288397804977243,0.01692977753446535,0.008600892874231684,0.10433716708047039,0.08781326865694947,0.0959334835727258,0.0,0.330181749570994,0.0026670022634789348,0.5505000008270144,0.3918750007869676,0.13829200179316103,0.19904199871234596,0.10516599286347628,False
peanut,smooth_concave,128,low,3,1.0016699382527536,0.06357901864153104,0.0631994194381263,0.024303580847269777,0.03978766054184169,0.033363374459007555,0.03688925450938781,0.0,0.25785450229373724,0.003374996595084667,2.170082996599376,1.526541993371211,0.2676660078577697,0.3725419956026599,0.19570899894461036,False
peanut,smooth_concave,128,high,31,1.0016699382527536,0.009505120393897054,0.008880477798381756,0.004212273911447955,0.03978766054184169,0.033363374459007555,0.03688925450938781,0.0,0.25785450229373724,0.003374996595084667,2.170082996599376,1.5006250032456592,0.2556249964982271,0.37195799814071506,0.19654100469779223,False
peanut,smooth_concave,256,low,3,1.0004280318241745,0.06275124217469012,0.06269812238895826,0.023938099942222603,0.014527084358262077,0.012182509268474303,0.01331806453989635,0.0,0.18995716929448267,0.0027089990908280015,8.058291001361795,6.030250006006099,0.5116249958518893,0.7302919984795153,0.38433300505857915,False
peanut,smooth_concave,256,high,63,1.0004280318241745,0.004725848169900937,0.004564918338803928,0.0020940958296872857,0.014527084358262077,0.012182509268474303,0.01331806453989635,0.0,0.18995716929448267,0.0027089990908280015,8.058291001361795,6.135041010566056,0.5271250120131299,0.7150000019464642,0.3873329987982288,False
double_concave,smooth_concave,64,low,3,1.0174826856669648,0.1714988578108957,0.16152281209397198,0.053636944443727165,0.16537912709506486,0.11208831516480054,0.2182131474506865,0.023026315789473683,0.7454357743494632,0.0023750035325065255,0.5422910035122186,0.3912920074071735,0.14441700477618724,0.2025829890044406,0.10933299199678004,False
double_concave,smooth_concave,64,high,15,1.0174826856669648,0.045321421701977074,0.029601743125615868,0.017024974816494908,0.16537912709506486,0.11208831516480054,0.2182131474506865,0.023026315789473683,0.7454357743494632,0.0023750035325065255,0.5422910035122186,0.38737499562557787,0.13404199853539467,0.19925000378862023,0.10933401063084602,False
double_concave,smooth_concave,128,low,3,1.0051619483857623,0.16852560760593982,0.16707771398679244,0.052167465365355735,0.08174791030591003,0.05786173417054115,0.10133829767233396,0.02556818181818182,0.5809997145487099,0.0023750035325065255,2.116208997904323,1.5551249962300062,0.28833300166297704,0.378625001758337,0.19683300342876464,False
double_concave,smooth_concave,128,high,31,1.0051619483857623,0.022717537482701743,0.018457235847534684,0.00842222000678183,0.08174791030591003,0.05786173417054115,0.10133829767233396,0.02556818181818182,0.5809997145487099,0.0023750035325065255,2.116208997904323,1.6274579975288361,0.2623750042403117,0.3901669988408685,0.20704101189039648,False
double_concave,smooth_concave,256,low,3,1.00169307331613,0.1668873691597026,0.16669328738732483,0.05152234926273436,0.03398331411427315,0.024845146762907513,0.038298057053399955,0.028426204819277108,0.42623481566493004,0.0030410010367631912,8.45195799774956,6.446083003538661,0.5719580076402053,0.7695410022279248,0.3952919942094013,False
double_concave,smooth_concave,256,high,63,1.00169307331613,0.011363937653558242,0.010266718141382046,0.004205715030728153,0.03398331411427315,0.024845146762907513,0.038298057053399955,0.028426204819277108,0.42623481566493004,0.0030410010367631912,8.45195799774956,6.307417002972215,0.5382920062402263,0.7767500064801425,0.3852090012514964,False
rounded_square,low_regular,64,low,3,1.0031500724122409,0.03578477548557982,0.03462286800749481,0.024817761748470567,0.057212641793729785,0.052667266131722484,0.03615973014995164,0.0,0.5723450129825357,0.002125001628883183,0.5460419924929738,0.4201669944450259,0.1544580009067431,0.2041669940808788,0.1143749977927655,False
rounded_square,low_regular,64,high,15,1.0031500724122409,0.0066171676873834325,0.006088283607936671,0.00040964334933462216,0.057212641793729785,0.052667266131722484,0.03615973014995164,0.0,0.5723450129825357,0.002125001628883183,0.5460419924929738,0.39762500091455877,0.13712499639950693,0.2081660059047863,0.1194580108858645,False
rounded_square,low_regular,128,low,3,1.0007945575493906,0.034854384057039174,0.034675163942950754,0.02417775213321693,0.023690472325379415,0.0219213105839149,0.013572163300350217,0.0,0.40688169759835535,0.0021669984562322497,2.1297500061336905,1.54208300227765,0.2739999908953905,0.3709580050781369,0.21212499996181577,False
rounded_square,low_regular,128,high,31,1.0007945575493906,0.0032519125021104405,0.0029931028059980037,0.00019900453078754992,0.023690472325379415,0.0219213105839149,0.013572163300350217,0.0,0.40688169759835535,0.0021669984562322497,2.1297500061336905,1.5864169981796294,0.28870800451841205,0.4014169971924275,0.19712500215973705,False
rounded_square,low_regular,256,low,3,1.0001991046495335,0.03440823128581946,0.03438497874973827,0.023869592281937087,0.008933159235932658,0.008283925058199245,0.004869726381595647,0.0,0.2871772576844539,0.0017920101527124643,8.445750005193986,6.23658299446106,0.5129589990247041,0.7485829992219806,0.3875840047840029,False
rounded_square,low_regular,256,high,63,1.0001991046495335,0.001612560035279076,0.0015252781210691145,9.867849678172343e-05,0.008933159235932658,0.008283925058199245,0.004869726381595647,0.0,0.2871772576844539,0.0017920101527124643,8.445750005193986,6.222750002052635,0.5222909967415035,0.7405829965136945,0.3768749884329736,False
cardioid_cusp,cusp,64,low,3,2.906248791881355,0.1377324786759148,0.07406725855930686,0.13147666253576099,0.20818967356511278,0.19767928247441433,0.22492419813668593,0.0,0.9997652340374497,0.0025420013116672635,0.6021659937687218,0.3862919984385371,0.14908300363458693,0.20329200197011232,0.11637501302175224,False
